Order_ID,Order_Date,Distributor_ID,Region,Product_Line,Order_Volume_Units,Revenue_INR,Fulfillment_TAT_Days,Status
ORD-0037,2024-01-04,DIST-119,East,Sliding_System,262,343220,13,Delayed
ORD-0038,2024-01-25,DIST-103,West,Casement_System,190,439850,4,Delivered
ORD-0039,2024-03-11,DIST-109,South,uPVC_Window_Profile,58,80852,4,Delivered
ORD-0040,2024-01-31,DIST-123,North,uPVC_Door_Profile,174,256998,3,Delivered
ORD-0041,2024-03-01,DIST-136,West,Sliding_System,149,356259,2,Delivered
ORD-0042,2024-02-16,DIST-150,North,Sliding_System,500,1234000,6,Delivered
ORD-0043,2024-02-29,DIST-125,West,uPVC_Door_Profile,86,150156,6,Delivered
ORD-0044,2024-01-13,DIST-146,West,uPVC_Window_Profile,325,562575,4,Delivered
ORD-0045,2024-03-31,DIST-116,North,uPVC_Window_Profile,350,836150,6,Delivered
ORD-0046,2024-01-18,DIST-122,South,Sliding_System,100,133400,4,Delivered
ORD-0047,2024-01-05,DIST-117,North,uPVC_Window_Profile,73,132787,3,Delivered
ORD-0048,2024-01-03,DIST-115,East,Casement_System,103,222377,3,Delivered
ORD-0049,2024-03-14,DIST-131,North,Casement_System,151,245375,2,Delivered
ORD-0050,2024-01-28,DIST-127,East,Casement_System,128,310272,7,Delivered
ORD-0051,2024-03-11,DIST-122,North,Sliding_System,269,420178,7,Delivered
ORD-0052,2024-03-22,DIST-123,West,Casement_System,395,550630,2,Delivered
ORD-0053,2024-01-13,DIST-118,South,Casement_System,233,286124,7,Delivered
ORD-0054,2024-01-16,DIST-110,West,uPVC_Door_Profile,91,148512,3,Delivered
ORD-0055,2024-03-11,DIST-134,South,Casement_System,436,629148,3,Delivered
ORD-0056,2024-03-02,DIST-115,East,uPVC_Door_Profile,322,404754,5,Delivered
ORD-0057,2024-03-07,DIST-143,North,uPVC_Window_Profile,482,1125470,2,Delivered
ORD-0058,2024-02-16,DIST-121,East,Casement_System,136,327760,5,Delivered
ORD-0059,2024-02-21,DIST-123,South,uPVC_Door_Profile,305,585295,5,Delivered
ORD-0060,2024-03-03,DIST-149,West,Sliding_System,480,686880,4,Delivered
ORD-0061,2024-03-31,DIST-117,North,uPVC_Window_Profile,322,517454,5,Delivered
ORD-0062,2024-03-05,DIST-105,East,Casement_System,423,700065,3,Delivered
ORD-0063,2024-01-13,DIST-142,North,uPVC_Window_Profile,184,289248,2,Delivered
ORD-0064,2024-01-19,DIST-102,East,uPVC_Door_Profile,78,132366,6,Delivered
ORD-0065,2024-03-15,DIST-128,West,uPVC_Window_Profile,203,243803,3,Delivered
ORD-0066,2024-02-09,DIST-119,West,uPVC_Window_Profile,383,886262,4,Delivered
ORD-0067,2024-03-17,DIST-106,North,uPVC_Door_Profile,250,448000,4,Delivered
ORD-0068,2024-02-04,DIST-112,South,uPVC_Window_Profile,447,1002174,3,Delivered
ORD-0069,2024-01-18,DIST-116,North,Sliding_System,243,574938,6,Delivered
ORD-0070,2024-01-08,DIST-137,East,uPVC_Door_Profile,371,733096,3,Delivered
ORD-0071,2024-03-18,DIST-123,East,uPVC_Window_Profile,137,173990,7,Delivered
ORD-0072,2024-01-12,DIST-102,South,uPVC_Window_Profile,442,555594,5,Delivered
ORD-0073,2024-03-06,DIST-124,West,uPVC_Door_Profile,435,897405,6,Delivered
ORD-0074,2024-01-24,DIST-131,East,uPVC_Window_Profile,360,603720,4,Delivered
ORD-0075,2024-01-29,DIST-143,South,uPVC_Window_Profile,483,625968,3,Delivered
ORD-0076,2024-01-29,DIST-113,North,uPVC_Door_Profile,302,478670,5,Delivered
ORD-0077,2024-03-24,DIST-137,South,Casement_System,204,395148,3,Delivered
ORD-0078,2024-02-06,DIST-138,North,Casement_System,188,347048,4,Delivered
ORD-0079,2024-03-29,DIST-121,North,uPVC_Window_Profile,261,518085,3,Delivered
ORD-0080,2024-02-29,DIST-150,East,Sliding_System,116,233392,9,Delayed
ORD-0081,2024-01-31,DIST-118,South,uPVC_Door_Profile,100,160600,7,Delivered
ORD-0082,2024-02-13,DIST-148,West,uPVC_Door_Profile,63,124992,3,Delivered
ORD-0083,2024-03-03,DIST-109,South,Sliding_System,299,657800,6,Delivered
ORD-0084,2024-02-24,DIST-141,East,uPVC_Window_Profile,318,765108,4,Delivered
ORD-0085,2024-01-30,DIST-130,West,Casement_System,160,220480,3,Delivered
ORD-0086,2024-03-23,DIST-136,South,Casement_System,59,113221,7,Delivered
ORD-0087,2024-01-20,DIST-116,West,uPVC_Window_Profile,100,189200,4,Delivered
ORD-0088,2024-01-11,DIST-106,North,uPVC_Window_Profile,190,326040,2,Delivered
ORD-0089,2024-03-03,DIST-140,North,Sliding_System,164,327508,6,Delivered
ORD-0090,2024-01-12,DIST-116,East,uPVC_Door_Profile,240,482880,6,Delivered
ORD-0091,2024-01-02,DIST-134,West,uPVC_Door_Profile,168,342384,2,Delivered
ORD-0092,2024-01-02,DIST-130,West,Sliding_System,308,688996,2,Delivered
ORD-0093,2024-01-28,DIST-100,East,uPVC_Door_Profile,175,362600,7,Delivered
ORD-0094,2024-01-02,DIST-106,East,uPVC_Window_Profile,274,447990,2,Delivered
ORD-0095,2024-01-20,DIST-111,East,uPVC_Window_Profile,334,586170,6,Delivered
ORD-0096,2024-01-20,DIST-126,East,Sliding_System,354,462678,12,Delayed
ORD-0097,2024-03-08,DIST-138,South,uPVC_Door_Profile,263,586753,2,Delivered
ORD-0098,2024-01-06,DIST-101,East,Casement_System,185,445295,7,Delivered
ORD-0099,2024-01-17,DIST-113,West,Sliding_System,136,244256,4,Delivered
ORD-0100,2024-03-10,DIST-117,North,Casement_System,421,661812,4,Delivered
ORD-0101,2024-01-02,DIST-138,South,uPVC_Window_Profile,130,255970,3,Delivered
ORD-0102,2024-02-19,DIST-110,North,uPVC_Door_Profile,404,702152,7,Delivered
ORD-0103,2024-02-20,DIST-118,South,Sliding_System,377,866723,4,Delivered
ORD-0104,2024-03-11,DIST-131,West,Casement_System,452,655852,2,Delivered
ORD-0105,2024-03-23,DIST-134,South,uPVC_Door_Profile,74,154068,5,Delivered
ORD-0106,2024-02-14,DIST-123,East,uPVC_Door_Profile,269,459721,5,Delivered
ORD-0107,2024-03-20,DIST-139,South,uPVC_Door_Profile,487,1182923,5,Delivered
ORD-0108,2024-01-11,DIST-127,East,uPVC_Window_Profile,249,354576,2,Delivered
ORD-0109,2024-03-18,DIST-116,North,uPVC_Window_Profile,296,677840,2,Delivered
ORD-0110,2024-02-24,DIST-111,South,Sliding_System,426,1037736,7,Delivered
ORD-0111,2024-02-29,DIST-133,East,uPVC_Door_Profile,80,159040,4,Delivered
ORD-0112,2024-02-06,DIST-121,South,uPVC_Door_Profile,82,130954,6,Delivered
ORD-0113,2024-03-31,DIST-105,West,Sliding_System,300,576000,7,Delivered
ORD-0114,2024-03-22,DIST-126,East,uPVC_Window_Profile,96,187200,6,Delivered
ORD-0115,2024-02-18,DIST-114,West,Casement_System,76,189924,7,Delivered
ORD-0116,2024-03-03,DIST-128,North,Casement_System,439,546116,4,Delivered
ORD-0117,2024-03-25,DIST-128,East,uPVC_Window_Profile,394,844342,3,Delivered
ORD-0118,2024-02-24,DIST-134,South,Sliding_System,315,715365,5,Delivered
ORD-0119,2024-01-12,DIST-120,South,uPVC_Door_Profile,435,1017030,3,Delivered
ORD-0120,2024-02-04,DIST-101,West,Sliding_System,246,328164,2,Delivered
ORD-0121,2024-03-07,DIST-130,East,uPVC_Window_Profile,476,602140,6,Delivered
ORD-0122,2024-02-15,DIST-144,South,uPVC_Door_Profile,100,178100,4,Delivered
ORD-0123,2024-01-04,DIST-102,North,uPVC_Window_Profile,487,745110,7,Delivered
ORD-0124,2024-03-15,DIST-144,South,uPVC_Window_Profile,472,607464,3,Delivered
ORD-0125,2024-01-19,DIST-146,South,Sliding_System,415,845770,2,Delivered
ORD-0126,2024-02-02,DIST-129,West,Sliding_System,239,335078,2,Delivered
ORD-0127,2024-02-03,DIST-108,East,uPVC_Door_Profile,479,964706,5,Delivered
ORD-0128,2024-01-16,DIST-138,South,Casement_System,404,650440,3,Delivered
ORD-0129,2024-02-19,DIST-145,East,uPVC_Window_Profile,262,319116,7,Delivered
ORD-0130,2024-01-26,DIST-109,South,Casement_System,385,566720,2,Delivered
ORD-0131,2024-03-05,DIST-122,West,uPVC_Door_Profile,129,168603,5,Delivered
ORD-0132,2024-02-24,DIST-116,East,Sliding_System,313,582493,8,Delayed
ORD-0133,2024-03-05,DIST-133,South,Casement_System,471,1087539,2,Delivered
ORD-0134,2024-03-15,DIST-125,South,Sliding_System,194,430874,2,Delivered
ORD-0135,2024-02-05,DIST-105,North,uPVC_Door_Profile,248,497488,3,Delivered
ORD-0136,2024-02-25,DIST-101,East,Casement_System,123,287082,5,Delivered
ORD-0137,2024-03-12,DIST-122,West,Sliding_System,109,140174,7,Delivered
ORD-0138,2024-02-23,DIST-121,North,Sliding_System,204,410244,5,Delivered
ORD-0139,2024-01-23,DIST-104,North,uPVC_Window_Profile,475,718675,2,Delivered
ORD-0140,2024-03-03,DIST-121,South,Casement_System,107,199769,2,Delivered
ORD-0141,2024-01-07,DIST-102,West,Sliding_System,487,731474,2,Delivered
ORD-0142,2024-01-31,DIST-141,East,uPVC_Door_Profile,120,279480,4,Delivered
ORD-0143,2024-02-27,DIST-106,South,Casement_System,182,366184,4,Delivered
ORD-0144,2024-02-28,DIST-123,East,Casement_System,250,556750,5,Delivered
ORD-0145,2024-02-11,DIST-110,North,Sliding_System,373,741524,2,Delivered
ORD-0146,2024-03-21,DIST-144,South,Sliding_System,296,389832,7,Delivered
ORD-0147,2024-03-09,DIST-114,South,uPVC_Door_Profile,148,365264,4,Delivered
ORD-0148,2024-03-20,DIST-146,East,uPVC_Door_Profile,190,445170,7,Delivered
ORD-0149,2024-01-27,DIST-122,North,Casement_System,296,437784,3,Delivered
ORD-0150,2024-03-23,DIST-139,East,Sliding_System,93,123969,13,Delayed
ORD-0151,2024-01-30,DIST-126,South,Sliding_System,212,529576,4,Delivered
ORD-0152,2024-01-15,DIST-121,West,uPVC_Door_Profile,223,318890,3,Delivered
ORD-0153,2024-01-02,DIST-106,West,Sliding_System,133,219450,2,Delivered
ORD-0154,2024-01-17,DIST-130,East,uPVC_Door_Profile,470,751060,3,Delivered
ORD-0155,2024-03-29,DIST-135,West,uPVC_Window_Profile,311,562599,5,Delivered
ORD-0156,2024-01-10,DIST-130,West,uPVC_Door_Profile,176,411488,3,Delivered
ORD-0157,2024-01-22,DIST-106,East,uPVC_Window_Profile,353,744124,7,Delivered
ORD-0158,2024-03-13,DIST-144,South,Casement_System,455,875875,3,Delivered
ORD-0159,2024-01-04,DIST-117,South,uPVC_Window_Profile,456,930240,7,Delivered
ORD-0160,2024-03-19,DIST-148,North,Sliding_System,439,1032967,2,Delivered
ORD-0161,2024-03-29,DIST-108,East,Casement_System,429,514800,4,Delivered
ORD-0162,2024-01-04,DIST-123,East,uPVC_Door_Profile,324,643464,2,Delivered
ORD-0163,2024-02-27,DIST-110,East,uPVC_Door_Profile,252,370944,2,Delivered
ORD-0164,2024-03-04,DIST-130,North,uPVC_Door_Profile,117,280098,6,Delivered
ORD-0165,2024-01-30,DIST-115,West,uPVC_Door_Profile,438,1004772,4,Delivered
ORD-0166,2024-03-14,DIST-140,South,Casement_System,467,753271,6,Delivered
ORD-0167,2024-03-30,DIST-126,South,uPVC_Window_Profile,401,831674,5,Delivered
ORD-0168,2024-01-03,DIST-116,South,Sliding_System,435,938730,6,Delivered
ORD-0169,2024-03-24,DIST-117,East,Sliding_System,229,309837,14,Delayed
ORD-0170,2024-02-14,DIST-149,East,uPVC_Door_Profile,407,929181,3,Delivered
ORD-0171,2024-01-27,DIST-137,East,Casement_System,462,772926,3,Delivered
ORD-0172,2024-02-25,DIST-133,East,uPVC_Door_Profile,226,387816,2,Delivered
ORD-0173,2024-03-28,DIST-105,West,Sliding_System,90,203940,2,Delivered
ORD-0174,2024-02-01,DIST-101,West,uPVC_Door_Profile,88,185592,7,Delivered
ORD-0175,2024-02-20,DIST-114,West,Casement_System,98,228732,2,Delivered
ORD-0176,2024-01-02,DIST-145,East,uPVC_Door_Profile,89,125668,6,Delivered
ORD-0177,2024-01-08,DIST-135,North,uPVC_Window_Profile,301,386183,6,Delivered
ORD-0178,2024-03-03,DIST-125,South,Sliding_System,375,574875,2,Delivered
ORD-0179,2024-02-19,DIST-136,South,uPVC_Window_Profile,79,102384,7,Delivered
ORD-0180,2024-02-22,DIST-147,North,Sliding_System,75,98475,5,Delivered
ORD-0181,2024-01-18,DIST-138,North,Casement_System,306,733176,7,Delivered
ORD-0182,2024-01-22,DIST-133,North,Casement_System,229,413803,6,Delivered
ORD-0183,2024-02-14,DIST-105,East,uPVC_Window_Profile,327,664137,2,Delivered
ORD-0184,2024-02-24,DIST-141,West,uPVC_Door_Profile,482,1126434,3,Delivered
ORD-0185,2024-02-18,DIST-119,East,uPVC_Door_Profile,229,278235,5,Delivered
ORD-0186,2024-01-19,DIST-107,North,uPVC_Door_Profile,251,558475,4,Delivered
ORD-0187,2024-02-01,DIST-125,North,Sliding_System,213,273066,2,Delivered
ORD-0188,2024-02-24,DIST-131,North,Sliding_System,63,118125,5,Delivered
ORD-0189,2024-02-25,DIST-137,East,uPVC_Window_Profile,188,459472,6,Delivered
ORD-0190,2024-01-24,DIST-148,East,uPVC_Door_Profile,185,329670,4,Delivered
ORD-0191,2024-02-19,DIST-136,East,uPVC_Window_Profile,287,596960,7,Delivered
ORD-0192,2024-03-05,DIST-100,North,uPVC_Window_Profile,128,267776,2,Delivered
ORD-0193,2024-03-26,DIST-122,West,Casement_System,347,512519,5,Delivered
ORD-0194,2024-02-13,DIST-145,East,uPVC_Window_Profile,369,450180,5,Delivered
ORD-0195,2024-03-26,DIST-147,East,uPVC_Window_Profile,144,273600,3,Delivered
ORD-0196,2024-02-05,DIST-100,West,uPVC_Door_Profile,452,681616,3,Delivered
ORD-0197,2024-03-06,DIST-109,West,Sliding_System,340,467840,4,Delivered
ORD-0198,2024-02-06,DIST-140,South,uPVC_Window_Profile,352,492448,7,Delivered
ORD-0199,2024-03-16,DIST-128,West,Sliding_System,100,214400,2,Delivered
ORD-0200,2024-03-20,DIST-103,West,uPVC_Window_Profile,493,938179,7,Delivered
ORD-0201,2024-02-29,DIST-130,South,uPVC_Door_Profile,196,342804,6,Delivered
ORD-0202,2024-03-31,DIST-121,North,Casement_System,248,518072,2,Delivered
ORD-0203,2024-01-08,DIST-116,South,Casement_System,376,885104,5,Delivered
ORD-0204,2024-01-10,DIST-101,North,Sliding_System,63,103887,6,Delivered
ORD-0205,2024-02-06,DIST-112,East,uPVC_Door_Profile,117,166608,2,Delivered
ORD-0206,2024-02-15,DIST-107,East,uPVC_Window_Profile,422,1022506,6,Delivered
ORD-0207,2024-01-28,DIST-135,South,Casement_System,287,549031,5,Delivered
ORD-0208,2024-02-27,DIST-129,South,Sliding_System,394,530718,3,Delivered
ORD-0209,2024-02-18,DIST-145,West,uPVC_Window_Profile,175,242200,6,Delivered
ORD-0210,2024-02-18,DIST-139,South,uPVC_Window_Profile,453,1122081,6,Delivered
ORD-0211,2024-03-21,DIST-131,West,uPVC_Door_Profile,422,620762,2,Delivered
ORD-0212,2024-01-31,DIST-100,North,uPVC_Window_Profile,131,161130,2,Delivered
ORD-0213,2024-01-09,DIST-141,North,Casement_System,329,426055,4,Delivered
ORD-0214,2024-01-06,DIST-122,West,Casement_System,460,632040,5,Delivered
ORD-0215,2024-02-03,DIST-130,West,Sliding_System,206,272744,6,Delivered
ORD-0216,2024-01-21,DIST-105,East,Casement_System,371,866656,7,Delivered
ORD-0217,2024-01-23,DIST-120,South,uPVC_Window_Profile,56,107520,4,Delivered
ORD-0218,2024-03-30,DIST-116,North,uPVC_Door_Profile,499,827841,6,Delivered
ORD-0219,2024-02-16,DIST-119,South,Sliding_System,466,853246,3,Delivered
ORD-0220,2024-01-27,DIST-101,West,uPVC_Window_Profile,51,90933,5,Delivered
ORD-0221,2024-02-13,DIST-118,North,uPVC_Door_Profile,183,311100,3,Delivered
ORD-0222,2024-02-26,DIST-102,South,Sliding_System,466,691078,4,Delivered
ORD-0223,2024-03-05,DIST-141,East,uPVC_Door_Profile,423,585855,3,Delivered
ORD-0224,2024-02-28,DIST-148,West,Casement_System,484,1037212,2,Delivered
ORD-0225,2024-01-18,DIST-133,West,Sliding_System,360,825840,5,Delivered
ORD-0226,2024-02-27,DIST-106,East,Casement_System,136,164288,2,Delivered
ORD-0227,2024-02-20,DIST-147,East,uPVC_Door_Profile,332,726084,2,Delivered
ORD-0228,2024-03-19,DIST-150,East,uPVC_Window_Profile,55,79420,2,Delivered
ORD-0229,2024-03-03,DIST-100,West,Sliding_System,75,134850,5,Delivered
ORD-0230,2024-02-11,DIST-110,North,uPVC_Window_Profile,259,458689,3,Delivered
ORD-0231,2024-01-19,DIST-130,North,Casement_System,96,193632,5,Delivered
ORD-0232,2024-01-24,DIST-142,West,uPVC_Door_Profile,101,210787,5,Delivered
ORD-0233,2024-01-21,DIST-110,South,Sliding_System,280,351120,3,Delivered
ORD-0234,2024-02-12,DIST-100,North,Casement_System,397,786854,2,Delivered
ORD-0235,2024-01-12,DIST-104,East,uPVC_Door_Profile,427,939400,6,Delivered
ORD-0236,2024-01-30,DIST-100,South,Casement_System,248,411680,2,Delivered
ORD-0237,2024-02-29,DIST-137,East,uPVC_Door_Profile,398,729534,4,Delivered
ORD-0238,2024-01-09,DIST-116,North,uPVC_Door_Profile,74,174862,5,Delivered
ORD-0239,2024-01-18,DIST-146,South,Sliding_System,480,769440,4,Delivered
ORD-0240,2024-01-18,DIST-128,East,uPVC_Door_Profile,500,750500,2,Delivered
ORD-0241,2024-01-31,DIST-137,South,Sliding_System,416,735904,4,Delivered
ORD-0242,2024-02-28,DIST-109,East,Casement_System,480,915360,7,Delivered
ORD-0243,2024-02-19,DIST-137,South,uPVC_Door_Profile,312,567528,2,Delivered
ORD-0244,2024-01-19,DIST-120,East,Sliding_System,260,489320,15,Delayed
ORD-0245,2024-02-24,DIST-144,East,Casement_System,259,574721,2,Delivered
ORD-0246,2024-03-06,DIST-114,North,Sliding_System,175,232575,4,Delivered
ORD-0247,2024-03-27,DIST-107,North,Sliding_System,322,425040,2,Delivered
ORD-0248,2024-02-24,DIST-149,North,Casement_System,271,339834,4,Delivered
ORD-0249,2024-01-03,DIST-136,North,Casement_System,236,435892,7,Delivered
ORD-0250,2024-02-07,DIST-129,East,uPVC_Window_Profile,221,339677,5,Delivered
ORD-0251,2024-03-16,DIST-126,West,Casement_System,302,702150,7,Delivered
ORD-0252,2024-02-13,DIST-100,East,Casement_System,344,738568,5,Delivered
ORD-0253,2024-01-13,DIST-121,East,Sliding_System,99,123156,11,Delayed
ORD-0254,2024-02-18,DIST-110,South,uPVC_Door_Profile,369,470106,5,Delivered
ORD-0255,2024-02-15,DIST-146,North,uPVC_Window_Profile,156,379704,2,Delivered
ORD-0256,2024-03-21,DIST-105,South,Casement_System,394,591000,3,Delivered
ORD-0257,2024-02-18,DIST-125,North,Sliding_System,230,347070,3,Delivered
ORD-0258,2024-01-26,DIST-102,West,Sliding_System,176,402336,6,Delivered
ORD-0259,2024-03-17,DIST-143,South,Sliding_System,314,716234,4,Delivered
ORD-0260,2024-03-09,DIST-118,East,Sliding_System,428,885532,10,Delayed
ORD-0261,2024-01-15,DIST-115,North,Casement_System,380,884640,7,Delivered
ORD-0262,2024-02-11,DIST-126,South,Sliding_System,318,499896,2,Delivered
ORD-0263,2024-03-17,DIST-108,North,Casement_System,378,609336,5,Delivered
ORD-0264,2024-03-18,DIST-122,East,uPVC_Door_Profile,394,677680,4,Delivered
ORD-0265,2024-01-08,DIST-115,East,Casement_System,116,231768,7,Delivered
ORD-0266,2024-02-12,DIST-129,South,uPVC_Door_Profile,493,751825,3,Delivered
ORD-0267,2024-03-06,DIST-136,North,uPVC_Window_Profile,78,181428,3,Delivered
ORD-0268,2024-01-16,DIST-124,North,Casement_System,383,631950,5,Delivered
ORD-0269,2024-03-15,DIST-130,North,uPVC_Door_Profile,414,550206,3,Delivered
ORD-0270,2024-02-16,DIST-134,North,Sliding_System,229,493495,5,Delivered
ORD-0271,2024-03-24,DIST-135,East,Sliding_System,295,631595,9,Delayed
ORD-0272,2024-02-06,DIST-120,South,Sliding_System,448,1031744,5,Delivered
ORD-0273,2024-01-30,DIST-121,West,Sliding_System,291,726627,3,Delivered
ORD-0274,2024-02-21,DIST-142,North,uPVC_Window_Profile,321,771042,5,Delivered
ORD-0275,2024-01-14,DIST-122,East,Casement_System,443,1082692,6,Delivered
ORD-0276,2024-03-08,DIST-123,East,Sliding_System,191,334441,15,Delayed
ORD-0277,2024-02-13,DIST-104,North,uPVC_Door_Profile,404,782952,2,Delivered
ORD-0278,2024-01-29,DIST-142,East,uPVC_Window_Profile,117,192933,4,Delivered
ORD-0279,2024-03-21,DIST-136,West,uPVC_Window_Profile,274,620610,2,Delivered
ORD-0280,2024-03-13,DIST-102,South,uPVC_Window_Profile,87,110142,2,Delivered
ORD-0281,2024-02-10,DIST-128,North,Sliding_System,164,246492,3,Delivered
ORD-0282,2024-03-24,DIST-127,South,uPVC_Window_Profile,496,739536,4,Delivered
ORD-0283,2024-01-23,DIST-112,West,Sliding_System,59,115994,4,Delivered
ORD-0284,2024-01-30,DIST-147,South,Sliding_System,215,361200,4,Delivered
ORD-0285,2024-01-16,DIST-135,South,uPVC_Window_Profile,210,295470,6,Delivered
ORD-0286,2024-02-04,DIST-120,North,Casement_System,360,707400,4,Delivered
ORD-0287,2024-01-13,DIST-116,North,Casement_System,270,377190,6,Delivered
ORD-0288,2024-02-04,DIST-113,North,Sliding_System,116,147320,5,Delivered
ORD-0289,2024-03-28,DIST-128,South,Casement_System,407,829059,7,Delivered
ORD-0290,2024-01-31,DIST-100,North,Casement_System,229,388613,2,Delivered
ORD-0291,2024-01-05,DIST-142,West,uPVC_Door_Profile,290,681210,3,Delivered
ORD-0292,2024-03-15,DIST-134,South,uPVC_Door_Profile,494,1055184,5,Delivered
ORD-0293,2024-02-13,DIST-118,West,Casement_System,228,346560,6,Delivered
ORD-0294,2024-02-23,DIST-134,East,Casement_System,404,562772,3,Delivered
ORD-0295,2024-01-03,DIST-114,East,uPVC_Door_Profile,157,215090,5,Delivered
ORD-0296,2024-02-09,DIST-108,North,uPVC_Window_Profile,371,549451,4,Delivered
ORD-0297,2024-03-12,DIST-113,North,uPVC_Door_Profile,194,406236,7,Delivered
ORD-0298,2024-03-18,DIST-128,North,uPVC_Door_Profile,354,673308,4,Delivered
ORD-0299,2024-01-06,DIST-125,East,uPVC_Door_Profile,222,553224,5,Delivered
ORD-0300,2024-02-26,DIST-134,West,uPVC_Window_Profile,412,607288,4,Delivered
ORD-0301,2024-03-15,DIST-146,North,Sliding_System,155,383005,3,Delivered
ORD-0302,2024-01-23,DIST-100,West,uPVC_Door_Profile,249,582411,7,Delivered
ORD-0303,2024-01-06,DIST-118,South,Sliding_System,359,561117,6,Delivered
ORD-0304,2024-02-29,DIST-139,North,Casement_System,335,818740,6,Delivered
ORD-0305,2024-03-15,DIST-100,West,Casement_System,384,509568,5,Delivered
ORD-0306,2024-03-25,DIST-144,South,Sliding_System,246,518814,6,Delivered
ORD-0307,2024-02-23,DIST-102,North,Casement_System,309,565470,7,Delivered
ORD-0308,2024-02-02,DIST-122,North,Casement_System,303,649632,2,Delivered
ORD-0309,2024-03-31,DIST-128,South,Casement_System,102,166056,4,Delivered
ORD-0310,2024-02-11,DIST-123,North,uPVC_Window_Profile,177,419667,2,Delivered
ORD-0311,2024-03-19,DIST-103,South,uPVC_Window_Profile,292,530272,5,Delivered
ORD-0312,2024-03-14,DIST-106,North,Casement_System,57,93252,7,Delivered
ORD-0313,2024-03-10,DIST-122,South,Sliding_System,432,545616,2,Delivered
ORD-0314,2024-03-12,DIST-111,North,Sliding_System,92,164588,7,Delivered
ORD-0315,2024-03-12,DIST-140,East,uPVC_Door_Profile,430,583080,6,Delivered
ORD-0316,2024-01-19,DIST-142,East,Casement_System,309,375435,3,Delivered
ORD-0317,2024-02-24,DIST-112,West,Casement_System,325,790075,4,Delivered
ORD-0318,2024-02-27,DIST-100,West,Casement_System,338,617526,2,Delivered
ORD-0319,2024-01-14,DIST-150,East,uPVC_Window_Profile,454,771800,4,Delivered
ORD-0320,2024-02-27,DIST-120,North,Casement_System,234,426816,4,Delivered
