Transaction_ID,Date,Department,Category,Vendor,Cash_Outflow_INR,Budget_Variance_Pct,Approval_Level,Audit_Flag
TXN-00037,2024-01-02,Logistics,Warehousing,Vendor_B,116924,3.3,Level 2,Clear
TXN-00038,2024-02-27,Marketing,Digital Ads,Vendor_E,18720,4.07,Level 1,Clear
TXN-00039,2024-03-21,Marketing,Digital Ads,Vendor_F,28420,-0.46,Level 1,Clear
TXN-00040,2024-03-15,Manufacturing,Equipment Maintenance,Vendor_B,123409,-1.89,Level 2,Clear
TXN-00041,2024-02-24,Logistics,Freight,Vendor_G,69489,-1.66,Level 2,Clear
TXN-00042,2024-02-23,IT,Hardware,Vendor_C,49430,2.93,Level 1,Clear
TXN-00043,2024-02-01,Marketing,Events,Vendor_H,385314,3.67,Level 3,Clear
TXN-00044,2024-02-28,Logistics,Freight,Vendor_B,108663,-1.5,Level 2,Clear
TXN-00045,2024-03-15,Logistics,Freight,Vendor_E,414312,-1.6,Level 3,Clear
TXN-00046,2024-01-11,Manufacturing,Equipment Maintenance,Vendor_E,166129,1.48,Level 2,Clear
TXN-00047,2024-02-10,Manufacturing,Equipment Maintenance,Vendor_G,412812,3.19,Level 3,Clear
TXN-00048,2024-02-06,Logistics,Warehousing,Vendor_C,787872,30.47,Level 3,Review_Required
TXN-00049,2024-01-09,HR,Recruitment,Vendor_C,321953,-1.99,Level 3,Clear
TXN-00050,2024-03-17,Logistics,Freight,Vendor_H,307387,-2.43,Level 3,Clear
TXN-00051,2024-01-15,HR,Training,Vendor_G,473995,3.91,Level 3,Clear
TXN-00052,2024-02-21,Manufacturing,Equipment Maintenance,Vendor_G,44493,3.1,Level 1,Clear
TXN-00053,2024-03-04,Logistics,Warehousing,Vendor_D,188992,4.86,Level 2,Clear
TXN-00054,2024-03-12,Marketing,Events,Vendor_B,160337,0.27,Level 2,Clear
TXN-00055,2024-01-31,IT,Software Licenses,Vendor_F,386740,-2.33,Level 3,Clear
TXN-00056,2024-02-02,IT,Software Licenses,Vendor_C,73720,-4.2,Level 2,Clear
TXN-00057,2024-01-30,Manufacturing,Raw Material,Vendor_B,108208,-3.8,Level 2,Clear
TXN-00058,2024-03-30,IT,Software Licenses,Vendor_A,75558,-2.75,Level 2,Clear
TXN-00059,2024-01-17,IT,Hardware,Vendor_G,115156,-2.74,Level 2,Clear
TXN-00060,2024-03-21,Marketing,Digital Ads,Vendor_A,70005,1.34,Level 2,Clear
TXN-00061,2024-03-21,Manufacturing,Raw Material,Vendor_D,205754,1.3,Level 3,Clear
TXN-00062,2024-02-27,Marketing,Digital Ads,Vendor_D,429592,0.68,Level 3,Clear
TXN-00063,2024-02-23,HR,Training,Vendor_B,150065,3.21,Level 2,Clear
TXN-00064,2024-01-02,Marketing,Events,Vendor_B,424673,2.56,Level 3,Clear
TXN-00065,2024-01-10,Logistics,Freight,Vendor_C,445987,19.56,Level 3,Review_Required
TXN-00066,2024-01-25,Marketing,Events,Vendor_A,298980,-3.16,Level 3,Clear
TXN-00067,2024-01-25,Logistics,Warehousing,Vendor_G,28300,-2.51,Level 1,Clear
TXN-00068,2024-01-11,Manufacturing,Raw Material,Vendor_H,66040,1.07,Level 2,Clear
TXN-00069,2024-01-11,Manufacturing,Raw Material,Vendor_C,355061,-1.0,Level 3,Clear
TXN-00070,2024-01-03,Manufacturing,Equipment Maintenance,Vendor_H,281436,-0.85,Level 3,Clear
TXN-00071,2024-02-29,Marketing,Events,Vendor_G,344213,2.66,Level 3,Clear
TXN-00072,2024-03-30,Marketing,Digital Ads,Vendor_A,197219,3.22,Level 2,Clear
TXN-00073,2024-02-12,Marketing,Events,Vendor_G,267882,0.68,Level 3,Clear
TXN-00074,2024-03-30,IT,Hardware,Vendor_C,328334,2.26,Level 3,Clear
TXN-00075,2024-03-20,HR,Recruitment,Vendor_G,492133,-4.71,Level 3,Clear
TXN-00076,2024-01-21,Marketing,Digital Ads,Vendor_D,282838,3.21,Level 3,Clear
TXN-00077,2024-03-31,Manufacturing,Raw Material,Vendor_A,223063,1.86,Level 3,Clear
TXN-00078,2024-01-19,HR,Training,Vendor_B,373214,0.0,Level 3,Clear
TXN-00079,2024-01-05,IT,Software Licenses,Vendor_F,181004,0.08,Level 2,Clear
TXN-00080,2024-01-18,Logistics,Warehousing,Vendor_H,410765,-2.62,Level 3,Clear
TXN-00081,2024-01-19,IT,Software Licenses,Vendor_B,413914,3.32,Level 3,Clear
TXN-00082,2024-02-15,HR,Recruitment,Vendor_D,277422,-2.4,Level 3,Clear
TXN-00083,2024-02-16,IT,Hardware,Vendor_F,58121,4.26,Level 2,Clear
TXN-00084,2024-03-27,Manufacturing,Raw Material,Vendor_A,31817,4.56,Level 1,Clear
TXN-00085,2024-03-13,Logistics,Freight,Vendor_A,66738,-0.44,Level 2,Clear
TXN-00086,2024-03-25,Manufacturing,Equipment Maintenance,Vendor_G,322615,0.21,Level 3,Clear
TXN-00087,2024-01-24,Logistics,Warehousing,Vendor_G,192690,-4.75,Level 2,Clear
TXN-00088,2024-02-19,Logistics,Freight,Vendor_B,56952,1.77,Level 2,Clear
TXN-00089,2024-02-22,Logistics,Warehousing,Vendor_G,484235,-3.03,Level 3,Clear
TXN-00090,2024-03-12,HR,Recruitment,Vendor_C,484608,4.14,Level 3,Clear
TXN-00091,2024-02-14,HR,Training,Vendor_G,332109,-2.74,Level 3,Clear
TXN-00092,2024-01-02,Logistics,Freight,Vendor_G,160799,-1.82,Level 2,Clear
TXN-00093,2024-02-07,IT,Software Licenses,Vendor_A,377920,-2.9,Level 3,Clear
TXN-00094,2024-03-13,Marketing,Events,Vendor_E,423605,-4.04,Level 3,Clear
TXN-00095,2024-03-18,IT,Hardware,Vendor_F,494100,-1.41,Level 3,Clear
TXN-00096,2024-03-21,Logistics,Warehousing,Vendor_F,334402,2.91,Level 3,Clear
TXN-00097,2024-02-04,Logistics,Freight,Vendor_F,387297,3.5,Level 3,Clear
TXN-00098,2024-03-05,IT,Software Licenses,Vendor_B,127283,-1.34,Level 2,Clear
TXN-00099,2024-03-17,Logistics,Warehousing,Vendor_A,168731,-2.06,Level 2,Clear
TXN-00100,2024-02-18,IT,Hardware,Vendor_E,463502,0.69,Level 3,Clear
TXN-00101,2024-02-25,IT,Hardware,Vendor_D,94344,1.81,Level 2,Clear
TXN-00102,2024-01-17,IT,Hardware,Vendor_E,248762,-2.1,Level 3,Clear
TXN-00103,2024-03-01,Logistics,Warehousing,Vendor_C,428464,32.18,Level 3,Review_Required
TXN-00104,2024-02-19,Manufacturing,Raw Material,Vendor_B,77352,0.84,Level 2,Clear
TXN-00105,2024-01-11,HR,Training,Vendor_H,13790,-2.23,Level 1,Clear
TXN-00106,2024-03-05,Logistics,Freight,Vendor_C,469725,15.51,Level 1,Review_Required
TXN-00107,2024-03-06,Logistics,Warehousing,Vendor_D,426925,2.07,Level 3,Clear
TXN-00108,2024-03-27,Manufacturing,Equipment Maintenance,Vendor_G,33498,3.8,Level 1,Clear
TXN-00109,2024-02-26,Marketing,Events,Vendor_C,415589,1.16,Level 3,Clear
TXN-00110,2024-03-18,IT,Software Licenses,Vendor_D,382194,-0.66,Level 3,Clear
TXN-00111,2024-03-30,IT,Hardware,Vendor_E,61934,-3.86,Level 2,Clear
TXN-00112,2024-03-27,Logistics,Warehousing,Vendor_H,81904,-0.63,Level 2,Clear
TXN-00113,2024-02-21,IT,Hardware,Vendor_H,468928,-0.9,Level 3,Clear
TXN-00114,2024-02-01,Logistics,Warehousing,Vendor_H,54877,-2.48,Level 2,Clear
TXN-00115,2024-03-29,Marketing,Digital Ads,Vendor_G,25841,-4.83,Level 1,Clear
TXN-00116,2024-01-27,HR,Training,Vendor_B,288155,3.2,Level 3,Clear
TXN-00117,2024-02-16,IT,Software Licenses,Vendor_F,285336,-4.63,Level 3,Clear
TXN-00118,2024-03-15,Marketing,Events,Vendor_C,55242,2.53,Level 2,Clear
TXN-00119,2024-02-21,HR,Recruitment,Vendor_B,360685,1.46,Level 3,Clear
TXN-00120,2024-01-01,HR,Recruitment,Vendor_C,57775,1.66,Level 2,Clear
TXN-00121,2024-03-18,IT,Software Licenses,Vendor_A,439511,-1.7,Level 3,Clear
TXN-00122,2024-01-31,Logistics,Warehousing,Vendor_E,394151,-1.63,Level 3,Clear
TXN-00123,2024-03-07,Marketing,Digital Ads,Vendor_A,446719,4.06,Level 3,Clear
TXN-00124,2024-01-29,Logistics,Freight,Vendor_E,71391,-3.29,Level 2,Clear
TXN-00125,2024-02-16,Marketing,Events,Vendor_H,198478,4.86,Level 2,Clear
TXN-00126,2024-03-21,Logistics,Freight,Vendor_B,307944,-3.12,Level 3,Clear
TXN-00127,2024-03-17,IT,Software Licenses,Vendor_E,422065,4.84,Level 3,Clear
TXN-00128,2024-03-12,Manufacturing,Raw Material,Vendor_B,253531,-1.41,Level 3,Clear
TXN-00129,2024-03-05,HR,Recruitment,Vendor_D,332988,3.31,Level 3,Clear
TXN-00130,2024-03-21,Manufacturing,Equipment Maintenance,Vendor_C,224839,-3.59,Level 3,Clear
TXN-00131,2024-01-21,Marketing,Digital Ads,Vendor_G,260852,-3.57,Level 3,Clear
TXN-00132,2024-03-07,HR,Recruitment,Vendor_D,294861,2.9,Level 3,Clear
TXN-00133,2024-01-07,HR,Training,Vendor_F,110722,-0.29,Level 2,Clear
TXN-00134,2024-01-15,IT,Software Licenses,Vendor_B,155555,-2.7,Level 2,Clear
TXN-00135,2024-01-28,HR,Training,Vendor_B,78010,-2.35,Level 2,Clear
TXN-00136,2024-03-17,HR,Training,Vendor_D,405317,3.62,Level 3,Clear
TXN-00137,2024-02-01,Logistics,Warehousing,Vendor_B,84466,4.49,Level 2,Clear
TXN-00138,2024-01-10,Logistics,Freight,Vendor_A,194409,4.35,Level 2,Clear
TXN-00139,2024-01-15,Manufacturing,Raw Material,Vendor_B,110836,-3.09,Level 2,Clear
TXN-00140,2024-01-16,Logistics,Freight,Vendor_D,460977,2.53,Level 3,Clear
TXN-00141,2024-01-16,Logistics,Freight,Vendor_B,419035,-0.35,Level 3,Clear
TXN-00142,2024-02-19,IT,Software Licenses,Vendor_H,177479,-0.48,Level 2,Clear
TXN-00143,2024-03-22,Logistics,Freight,Vendor_C,566660,28.93,Level 2,Review_Required
TXN-00144,2024-01-12,IT,Software Licenses,Vendor_E,103730,-1.29,Level 2,Clear
TXN-00145,2024-02-08,Logistics,Freight,Vendor_A,21706,-0.26,Level 1,Clear
TXN-00146,2024-03-16,Logistics,Freight,Vendor_H,154098,3.89,Level 2,Clear
TXN-00147,2024-01-26,Manufacturing,Equipment Maintenance,Vendor_D,297566,3.19,Level 3,Clear
TXN-00148,2024-02-07,Logistics,Warehousing,Vendor_B,430013,4.69,Level 3,Clear
TXN-00149,2024-01-22,Logistics,Freight,Vendor_G,171849,-0.95,Level 2,Clear
TXN-00150,2024-03-31,Marketing,Digital Ads,Vendor_F,464949,-2.9,Level 3,Clear
TXN-00151,2024-03-09,HR,Training,Vendor_E,147629,-3.7,Level 2,Clear
TXN-00152,2024-01-17,Manufacturing,Equipment Maintenance,Vendor_B,345499,4.06,Level 3,Clear
TXN-00153,2024-02-08,Marketing,Digital Ads,Vendor_B,80678,2.69,Level 2,Clear
TXN-00154,2024-03-03,HR,Recruitment,Vendor_E,499289,-0.05,Level 3,Clear
TXN-00155,2024-02-22,HR,Recruitment,Vendor_E,385677,-2.06,Level 3,Clear
TXN-00156,2024-02-02,Logistics,Freight,Vendor_G,330792,-1.53,Level 3,Clear
TXN-00157,2024-02-13,Logistics,Freight,Vendor_F,185176,-2.73,Level 2,Clear
TXN-00158,2024-03-08,Manufacturing,Equipment Maintenance,Vendor_B,136918,4.1,Level 2,Clear
TXN-00159,2024-02-23,IT,Hardware,Vendor_F,224906,0.13,Level 3,Clear
TXN-00160,2024-02-07,Manufacturing,Equipment Maintenance,Vendor_E,70778,3.67,Level 2,Clear
TXN-00161,2024-03-01,Marketing,Events,Vendor_E,190239,1.2,Level 2,Clear
TXN-00162,2024-01-18,Logistics,Freight,Vendor_H,198268,0.9,Level 2,Clear
TXN-00163,2024-03-24,Marketing,Digital Ads,Vendor_C,282907,-2.68,Level 3,Clear
TXN-00164,2024-02-15,Manufacturing,Equipment Maintenance,Vendor_F,261045,1.82,Level 3,Clear
TXN-00165,2024-02-23,Manufacturing,Raw Material,Vendor_B,90147,-0.27,Level 2,Clear
TXN-00166,2024-02-16,IT,Hardware,Vendor_B,15220,4.09,Level 1,Clear
TXN-00167,2024-02-07,Logistics,Freight,Vendor_D,252833,0.65,Level 3,Clear
TXN-00168,2024-01-31,Logistics,Warehousing,Vendor_B,366501,-3.83,Level 3,Clear
TXN-00169,2024-02-04,Manufacturing,Equipment Maintenance,Vendor_C,112762,-3.22,Level 2,Clear
TXN-00170,2024-03-14,HR,Recruitment,Vendor_D,30585,-0.22,Level 1,Clear
TXN-00171,2024-01-19,HR,Recruitment,Vendor_H,348903,4.7,Level 3,Clear
TXN-00172,2024-01-01,HR,Recruitment,Vendor_H,454029,-3.82,Level 3,Clear
TXN-00173,2024-03-22,HR,Training,Vendor_H,170909,1.15,Level 2,Clear
TXN-00174,2024-02-07,Marketing,Digital Ads,Vendor_A,315421,0.78,Level 3,Clear
TXN-00175,2024-01-03,Manufacturing,Equipment Maintenance,Vendor_E,263343,4.71,Level 3,Clear
TXN-00176,2024-03-03,IT,Software Licenses,Vendor_F,147202,3.53,Level 2,Clear
TXN-00177,2024-03-18,Marketing,Digital Ads,Vendor_C,101459,4.49,Level 2,Clear
TXN-00178,2024-01-26,Manufacturing,Equipment Maintenance,Vendor_B,360224,4.31,Level 3,Clear
TXN-00179,2024-01-10,HR,Recruitment,Vendor_D,499674,0.7,Level 3,Clear
TXN-00180,2024-02-20,Marketing,Events,Vendor_C,131168,-2.5,Level 2,Clear
TXN-00181,2024-01-07,Logistics,Warehousing,Vendor_F,442364,-1.39,Level 3,Clear
TXN-00182,2024-03-07,Manufacturing,Equipment Maintenance,Vendor_E,116273,-4.18,Level 2,Clear
TXN-00183,2024-01-17,Logistics,Warehousing,Vendor_D,360677,-1.81,Level 3,Clear
TXN-00184,2024-03-04,IT,Hardware,Vendor_C,97698,2.86,Level 2,Clear
TXN-00185,2024-03-04,Marketing,Digital Ads,Vendor_C,469200,4.99,Level 3,Clear
TXN-00186,2024-01-31,IT,Software Licenses,Vendor_B,310962,-1.68,Level 3,Clear
TXN-00187,2024-03-28,Logistics,Freight,Vendor_H,203090,0.3,Level 3,Clear
TXN-00188,2024-02-25,Manufacturing,Raw Material,Vendor_C,495808,-3.13,Level 3,Clear
TXN-00189,2024-03-13,Manufacturing,Raw Material,Vendor_F,427617,4.97,Level 3,Clear
TXN-00190,2024-03-24,IT,Hardware,Vendor_A,17284,-0.2,Level 1,Clear
TXN-00191,2024-03-28,Manufacturing,Raw Material,Vendor_G,366716,-2.2,Level 3,Clear
TXN-00192,2024-03-20,Manufacturing,Raw Material,Vendor_A,213238,0.15,Level 3,Clear
TXN-00193,2024-01-27,Logistics,Warehousing,Vendor_H,407880,-0.25,Level 3,Clear
TXN-00194,2024-02-24,HR,Recruitment,Vendor_D,472878,3.22,Level 3,Clear
TXN-00195,2024-03-12,HR,Recruitment,Vendor_G,474065,4.29,Level 3,Clear
TXN-00196,2024-02-28,Logistics,Warehousing,Vendor_D,142164,1.56,Level 2,Clear
TXN-00197,2024-01-15,Manufacturing,Equipment Maintenance,Vendor_B,353039,1.86,Level 3,Clear
TXN-00198,2024-01-10,Marketing,Digital Ads,Vendor_D,98550,-4.2,Level 2,Clear
TXN-00199,2024-02-02,IT,Software Licenses,Vendor_B,271816,-4.46,Level 3,Clear
TXN-00200,2024-03-16,Manufacturing,Equipment Maintenance,Vendor_A,23378,-1.25,Level 1,Clear
TXN-00201,2024-03-21,Manufacturing,Raw Material,Vendor_G,263122,2.15,Level 3,Clear
TXN-00202,2024-02-11,Marketing,Digital Ads,Vendor_B,325315,-4.42,Level 3,Clear
TXN-00203,2024-03-15,IT,Hardware,Vendor_F,240198,-1.96,Level 3,Clear
TXN-00204,2024-03-29,HR,Recruitment,Vendor_F,303826,-3.07,Level 3,Clear
TXN-00205,2024-02-22,Manufacturing,Raw Material,Vendor_G,270134,4.02,Level 3,Clear
TXN-00206,2024-01-06,HR,Training,Vendor_G,89442,-2.19,Level 2,Clear
TXN-00207,2024-01-13,Marketing,Events,Vendor_H,443323,-0.5,Level 3,Clear
TXN-00208,2024-03-21,IT,Software Licenses,Vendor_D,425628,4.28,Level 3,Clear
TXN-00209,2024-02-24,IT,Hardware,Vendor_F,366373,-1.77,Level 3,Clear
TXN-00210,2024-01-22,HR,Training,Vendor_F,482227,-2.82,Level 3,Clear
TXN-00211,2024-03-30,Logistics,Warehousing,Vendor_G,86006,3.85,Level 2,Clear
TXN-00212,2024-03-01,HR,Recruitment,Vendor_B,28476,4.11,Level 1,Clear
TXN-00213,2024-03-05,IT,Hardware,Vendor_B,358775,2.6,Level 3,Clear
TXN-00214,2024-03-29,Marketing,Events,Vendor_E,272732,0.6,Level 3,Clear
TXN-00215,2024-03-30,Logistics,Freight,Vendor_A,316544,-0.54,Level 3,Clear
TXN-00216,2024-01-14,Marketing,Events,Vendor_H,341735,-2.97,Level 3,Clear
TXN-00217,2024-01-25,Marketing,Events,Vendor_E,362633,-0.77,Level 3,Clear
TXN-00218,2024-02-20,Logistics,Freight,Vendor_F,469793,2.02,Level 3,Clear
TXN-00219,2024-01-14,IT,Software Licenses,Vendor_H,128022,2.36,Level 2,Clear
TXN-00220,2024-02-04,Logistics,Warehousing,Vendor_D,73052,-1.21,Level 2,Clear
TXN-00221,2024-02-04,HR,Training,Vendor_H,222668,1.94,Level 3,Clear
TXN-00222,2024-03-09,Logistics,Freight,Vendor_B,442480,-3.94,Level 3,Clear
TXN-00223,2024-01-29,Logistics,Freight,Vendor_A,11724,-2.78,Level 1,Clear
TXN-00224,2024-01-23,Marketing,Events,Vendor_H,195145,-4.96,Level 2,Clear
TXN-00225,2024-02-05,IT,Software Licenses,Vendor_C,436181,-3.51,Level 3,Clear
TXN-00226,2024-02-13,Logistics,Warehousing,Vendor_F,68055,-4.37,Level 2,Clear
TXN-00227,2024-02-10,Manufacturing,Raw Material,Vendor_F,326110,-2.99,Level 3,Clear
TXN-00228,2024-02-16,IT,Hardware,Vendor_B,310010,4.61,Level 3,Clear
TXN-00229,2024-03-28,Logistics,Warehousing,Vendor_H,313982,-2.38,Level 3,Clear
TXN-00230,2024-03-02,HR,Training,Vendor_A,207163,-2.65,Level 3,Clear
TXN-00231,2024-01-02,Manufacturing,Raw Material,Vendor_G,337609,3.0,Level 3,Clear
TXN-00232,2024-01-09,Logistics,Freight,Vendor_A,282488,-0.6,Level 3,Clear
TXN-00233,2024-03-26,Manufacturing,Raw Material,Vendor_H,171796,-4.77,Level 2,Clear
TXN-00234,2024-01-06,Manufacturing,Equipment Maintenance,Vendor_F,165864,-4.32,Level 2,Clear
TXN-00235,2024-02-24,Marketing,Events,Vendor_B,205422,-3.72,Level 3,Clear
TXN-00236,2024-02-17,Logistics,Warehousing,Vendor_F,498341,4.15,Level 3,Clear
TXN-00237,2024-03-12,HR,Recruitment,Vendor_C,160702,0.36,Level 2,Clear
TXN-00238,2024-03-28,Manufacturing,Raw Material,Vendor_D,327965,4.95,Level 3,Clear
TXN-00239,2024-01-31,HR,Recruitment,Vendor_H,270594,-1.02,Level 3,Clear
TXN-00240,2024-03-18,Marketing,Events,Vendor_A,114299,4.27,Level 2,Clear
TXN-00241,2024-03-29,IT,Hardware,Vendor_A,346479,-0.36,Level 3,Clear
TXN-00242,2024-01-27,Marketing,Events,Vendor_C,397032,1.03,Level 3,Clear
TXN-00243,2024-01-24,HR,Training,Vendor_A,368051,-4.54,Level 3,Clear
TXN-00244,2024-03-31,Logistics,Warehousing,Vendor_H,202835,2.14,Level 3,Clear
TXN-00245,2024-03-26,Manufacturing,Raw Material,Vendor_D,65909,-1.13,Level 2,Clear
TXN-00246,2024-03-13,Logistics,Warehousing,Vendor_E,90345,3.16,Level 2,Clear
TXN-00247,2024-02-03,Logistics,Warehousing,Vendor_E,38925,1.1,Level 1,Clear
TXN-00248,2024-03-08,IT,Hardware,Vendor_H,27399,-2.45,Level 1,Clear
TXN-00249,2024-03-11,Manufacturing,Raw Material,Vendor_B,96736,-4.79,Level 2,Clear
TXN-00250,2024-02-29,Marketing,Events,Vendor_G,33388,-2.9,Level 1,Clear
TXN-00251,2024-03-15,IT,Software Licenses,Vendor_G,224420,-4.89,Level 3,Clear
TXN-00252,2024-02-05,IT,Software Licenses,Vendor_G,256774,1.14,Level 3,Clear
TXN-00253,2024-03-14,Logistics,Freight,Vendor_C,689104,31.98,Level 2,Review_Required
TXN-00254,2024-03-16,Manufacturing,Raw Material,Vendor_F,18103,4.18,Level 1,Clear
TXN-00255,2024-01-12,Marketing,Events,Vendor_B,283625,-0.08,Level 3,Clear
TXN-00256,2024-01-21,IT,Software Licenses,Vendor_D,235380,-4.43,Level 3,Clear
TXN-00257,2024-02-04,IT,Software Licenses,Vendor_B,170325,4.58,Level 2,Clear
TXN-00258,2024-02-11,IT,Software Licenses,Vendor_F,126907,1.95,Level 2,Clear
TXN-00259,2024-01-12,IT,Software Licenses,Vendor_H,156459,-3.67,Level 2,Clear
TXN-00260,2024-02-26,IT,Software Licenses,Vendor_E,330389,2.87,Level 3,Clear
TXN-00261,2024-02-07,Logistics,Warehousing,Vendor_C,411888,34.06,Level 3,Review_Required
TXN-00262,2024-01-11,IT,Hardware,Vendor_B,381071,1.1,Level 3,Clear
TXN-00263,2024-03-26,IT,Software Licenses,Vendor_F,139322,-2.57,Level 2,Clear
TXN-00264,2024-01-03,IT,Software Licenses,Vendor_H,458741,2.25,Level 3,Clear
TXN-00265,2024-01-19,IT,Hardware,Vendor_F,273730,4.12,Level 3,Clear
TXN-00266,2024-02-10,Manufacturing,Raw Material,Vendor_D,16570,0.53,Level 1,Clear
TXN-00267,2024-01-20,Logistics,Warehousing,Vendor_D,450133,3.69,Level 3,Clear
TXN-00268,2024-03-12,Manufacturing,Raw Material,Vendor_H,210725,3.72,Level 3,Clear
TXN-00269,2024-03-10,HR,Training,Vendor_A,59642,-3.27,Level 2,Clear
TXN-00270,2024-03-07,Manufacturing,Equipment Maintenance,Vendor_B,293818,4.22,Level 3,Clear
TXN-00271,2024-01-23,Logistics,Warehousing,Vendor_F,21854,-0.56,Level 1,Clear
TXN-00272,2024-02-08,Marketing,Digital Ads,Vendor_D,187900,-2.16,Level 2,Clear
TXN-00273,2024-03-31,Manufacturing,Raw Material,Vendor_E,164103,-4.35,Level 2,Clear
TXN-00274,2024-01-05,Logistics,Warehousing,Vendor_H,370791,-4.69,Level 3,Clear
TXN-00275,2024-03-05,Logistics,Warehousing,Vendor_E,466327,-2.48,Level 3,Clear
TXN-00276,2024-03-06,Manufacturing,Equipment Maintenance,Vendor_C,104840,-4.61,Level 2,Clear
TXN-00277,2024-02-15,Logistics,Warehousing,Vendor_F,204185,0.23,Level 3,Clear
TXN-00278,2024-03-07,HR,Recruitment,Vendor_A,105810,4.73,Level 2,Clear
TXN-00279,2024-03-07,Manufacturing,Equipment Maintenance,Vendor_F,72271,-0.13,Level 2,Clear
TXN-00280,2024-01-20,Logistics,Freight,Vendor_D,401487,4.54,Level 3,Clear
TXN-00281,2024-01-07,Logistics,Warehousing,Vendor_H,430800,1.6,Level 3,Clear
TXN-00282,2024-03-09,IT,Hardware,Vendor_C,417618,-2.74,Level 3,Clear
TXN-00283,2024-01-14,IT,Hardware,Vendor_E,389673,-0.29,Level 3,Clear
TXN-00284,2024-03-30,Marketing,Digital Ads,Vendor_D,82786,-1.29,Level 2,Clear
TXN-00285,2024-02-02,HR,Recruitment,Vendor_A,36077,-0.35,Level 1,Clear
TXN-00286,2024-01-16,Logistics,Warehousing,Vendor_G,316514,2.36,Level 3,Clear
TXN-00287,2024-01-25,Manufacturing,Equipment Maintenance,Vendor_D,72860,-1.54,Level 2,Clear
TXN-00288,2024-03-12,Marketing,Digital Ads,Vendor_C,95369,3.42,Level 2,Clear
TXN-00289,2024-03-21,Logistics,Warehousing,Vendor_H,400742,3.55,Level 3,Clear
