Record_ID,Date,Extruder_ID,Shift,Uptime_Hours,Downtime_Hours,Defect_Rate_Pct,Maintenance_Cost_INR,Material_Waste_Kg,Status_Flag
PRD-0033,2024-02-18,EXT-05,Morning,6.9,1.1,4.54,1233,20,Normal
PRD-0034,2024-02-20,EXT-01,Morning,5.3,2.7,4.38,3894,24,Normal
PRD-0035,2024-02-26,EXT-04,Evening,7.5,0.5,3.15,3443,40,Normal
PRD-0036,2024-02-21,EXT-01,Evening,5.6,2.4,4.26,2110,42,Normal
PRD-0037,2024-03-09,EXT-01,Evening,5.3,2.7,0.7,4979,49,Normal
PRD-0038,2024-01-02,EXT-05,Night,6.7,1.3,3.79,2514,42,Normal
PRD-0039,2024-03-07,EXT-04,Night,5.5,2.5,4.42,2447,14,Normal
PRD-0040,2024-03-10,EXT-01,Morning,7.0,1.0,2.26,2019,34,Normal
PRD-0041,2024-02-03,EXT-02,Evening,6.9,1.1,4.28,1158,39,Normal
PRD-0042,2024-01-26,EXT-04,Evening,7.3,0.7,1.67,4431,16,Normal
PRD-0043,2024-01-08,EXT-05,Evening,7.8,0.2,3.71,2059,41,Normal
PRD-0044,2024-02-08,EXT-02,Morning,7.6,0.4,1.68,2972,39,Normal
PRD-0045,2024-03-08,EXT-03,Evening,6.8,1.2,4.53,3819,31,Normal
PRD-0046,2024-02-07,EXT-01,Night,8.0,0.0,2.18,1747,23,Normal
PRD-0047,2024-03-12,EXT-05,Night,6.2,1.8,2.74,3844,11,Normal
PRD-0048,2024-01-05,EXT-04,Night,5.5,2.5,2.32,4480,43,Normal
PRD-0049,2024-03-15,EXT-04,Night,7.7,0.3,4.84,1391,15,Normal
PRD-0050,2024-02-03,EXT-01,Morning,5.4,2.6,2.66,4742,12,Normal
PRD-0051,2024-03-08,EXT-03,Night,4.2,3.8,4.79,9850,70,High_Defect
PRD-0052,2024-02-19,EXT-04,Evening,7.8,0.2,2.89,1574,40,Normal
PRD-0053,2024-03-16,EXT-04,Night,6.0,2.0,1.43,4504,27,Normal
PRD-0054,2024-01-11,EXT-03,Evening,7.7,0.3,4.01,4309,38,Normal
PRD-0055,2024-02-18,EXT-01,Night,6.8,1.2,3.68,1436,33,Normal
PRD-0056,2024-01-12,EXT-04,Morning,7.3,0.7,4.81,4894,26,Normal
PRD-0057,2024-01-22,EXT-05,Night,5.0,3.0,1.37,2974,24,Normal
PRD-0058,2024-01-14,EXT-04,Morning,5.5,2.5,2.96,4699,33,Normal
PRD-0059,2024-03-20,EXT-01,Night,6.5,1.5,3.99,2637,34,Normal
PRD-0060,2024-03-29,EXT-03,Morning,7.4,0.6,0.89,2873,28,Normal
PRD-0061,2024-03-07,EXT-04,Morning,6.3,1.7,1.5,1178,24,Normal
PRD-0062,2024-02-09,EXT-05,Night,5.2,2.8,4.17,4468,48,Normal
PRD-0063,2024-02-10,EXT-01,Morning,6.4,1.6,0.8,2018,47,Normal
PRD-0064,2024-03-24,EXT-03,Evening,5.9,2.1,4.74,1952,13,Normal
PRD-0065,2024-02-12,EXT-04,Morning,7.0,1.0,4.08,3482,16,Normal
PRD-0066,2024-01-21,EXT-05,Evening,5.3,2.7,4.81,1798,45,Normal
PRD-0067,2024-02-21,EXT-04,Night,6.2,1.8,2.38,1234,36,Normal
PRD-0068,2024-01-07,EXT-01,Night,5.8,2.2,2.22,3983,31,Normal
PRD-0069,2024-03-03,EXT-04,Evening,5.9,2.1,2.09,2081,22,Normal
PRD-0070,2024-02-07,EXT-05,Evening,6.2,1.8,3.81,3056,44,Normal
PRD-0071,2024-01-29,EXT-03,Morning,5.3,2.7,3.2,4536,41,Normal
PRD-0072,2024-01-08,EXT-05,Evening,6.8,1.2,4.97,3224,12,Normal
PRD-0073,2024-02-11,EXT-04,Morning,7.9,0.1,2.5,2039,22,Normal
PRD-0074,2024-01-21,EXT-05,Evening,5.5,2.5,2.22,1891,43,Normal
PRD-0075,2024-03-11,EXT-03,Night,5.9,2.1,6.73,13338,112,High_Defect
PRD-0076,2024-03-14,EXT-03,Evening,5.6,2.4,4.16,3847,21,Normal
PRD-0077,2024-02-08,EXT-04,Night,5.0,3.0,4.43,2597,37,Normal
PRD-0078,2024-03-01,EXT-02,Evening,7.4,0.6,3.06,1435,16,Normal
PRD-0079,2024-01-17,EXT-05,Evening,6.5,1.5,1.05,3761,32,Normal
PRD-0080,2024-02-11,EXT-03,Evening,5.8,2.2,1.72,1321,28,Normal
PRD-0081,2024-01-12,EXT-03,Night,4.7,3.3,6.44,8568,95,High_Defect
PRD-0082,2024-03-27,EXT-03,Night,4.8,3.2,4.29,9920,66,High_Defect
PRD-0083,2024-03-07,EXT-02,Night,7.6,0.4,2.18,2190,39,Normal
PRD-0084,2024-03-26,EXT-04,Evening,7.5,0.5,1.09,4273,43,Normal
PRD-0085,2024-02-01,EXT-04,Night,7.5,0.5,1.68,2973,45,Normal
PRD-0086,2024-02-03,EXT-03,Evening,7.3,0.7,2.19,2273,43,Normal
PRD-0087,2024-03-27,EXT-01,Evening,5.4,2.6,3.29,3377,49,Normal
PRD-0088,2024-03-14,EXT-05,Morning,7.0,1.0,1.55,4293,11,Normal
PRD-0089,2024-02-28,EXT-05,Morning,7.4,0.6,4.33,4328,46,Normal
PRD-0090,2024-03-24,EXT-02,Morning,5.3,2.7,4.83,3309,34,Normal
PRD-0091,2024-02-16,EXT-02,Morning,6.4,1.6,2.47,3408,34,Normal
PRD-0092,2024-02-19,EXT-01,Night,5.9,2.1,1.8,3430,37,Normal
PRD-0093,2024-01-16,EXT-04,Morning,5.4,2.6,4.64,1284,29,Normal
PRD-0094,2024-01-13,EXT-05,Morning,6.5,1.5,4.71,1257,12,Normal
PRD-0095,2024-02-14,EXT-03,Evening,7.7,0.3,4.69,1627,50,Normal
PRD-0096,2024-03-22,EXT-02,Morning,7.4,0.6,1.17,3691,41,Normal
PRD-0097,2024-01-04,EXT-03,Night,5.0,3.0,7.91,9550,101,High_Defect
PRD-0098,2024-01-07,EXT-01,Night,7.9,0.1,4.49,3398,24,Normal
PRD-0099,2024-01-20,EXT-05,Night,7.1,0.9,2.2,1515,49,Normal
PRD-0100,2024-01-19,EXT-02,Evening,7.8,0.2,1.28,1580,27,Normal
PRD-0101,2024-03-16,EXT-01,Night,5.5,2.5,2.28,4529,38,Normal
PRD-0102,2024-02-06,EXT-02,Night,5.3,2.7,2.38,3774,18,Normal
PRD-0103,2024-03-26,EXT-02,Night,6.8,1.2,4.32,2383,37,Normal
PRD-0104,2024-01-13,EXT-03,Evening,5.1,2.9,3.65,3605,39,Normal
PRD-0105,2024-03-05,EXT-01,Morning,5.6,2.4,3.46,1846,11,Normal
PRD-0106,2024-03-17,EXT-04,Night,5.3,2.7,3.29,3115,20,Normal
PRD-0107,2024-02-11,EXT-04,Night,5.2,2.8,3.34,3684,48,Normal
PRD-0108,2024-02-07,EXT-01,Evening,7.7,0.3,0.64,4948,19,Normal
PRD-0109,2024-03-07,EXT-04,Night,8.0,0.0,2.13,3728,19,Normal
PRD-0110,2024-03-31,EXT-03,Evening,5.6,2.4,3.35,2050,35,Normal
PRD-0111,2024-01-24,EXT-03,Morning,6.8,1.2,2.55,1458,20,Normal
PRD-0112,2024-01-17,EXT-02,Evening,5.5,2.5,0.99,3204,25,Normal
PRD-0113,2024-01-14,EXT-04,Night,6.8,1.2,1.46,1631,13,Normal
PRD-0114,2024-03-23,EXT-05,Night,6.6,1.4,3.84,3991,35,Normal
PRD-0115,2024-01-09,EXT-05,Night,5.3,2.7,1.26,4707,30,Normal
PRD-0116,2024-03-02,EXT-05,Night,7.0,1.0,1.33,4573,36,Normal
PRD-0117,2024-01-21,EXT-02,Evening,5.9,2.1,1.72,4737,49,Normal
PRD-0118,2024-03-28,EXT-05,Morning,5.7,2.3,2.95,4795,38,Normal
PRD-0119,2024-01-29,EXT-05,Night,5.6,2.4,4.07,4537,16,Normal
PRD-0120,2024-03-15,EXT-03,Night,5.6,2.4,6.34,12627,62,High_Defect
PRD-0121,2024-01-26,EXT-02,Morning,6.8,1.2,4.11,3436,16,Normal
PRD-0122,2024-01-17,EXT-05,Evening,7.1,0.9,1.71,1897,13,Normal
PRD-0123,2024-01-26,EXT-02,Night,5.4,2.6,1.17,3711,35,Normal
PRD-0124,2024-01-09,EXT-04,Night,6.6,1.4,0.52,2571,33,Normal
PRD-0125,2024-03-24,EXT-05,Night,6.2,1.8,3.23,1723,26,Normal
PRD-0126,2024-01-03,EXT-05,Night,6.7,1.3,3.62,2631,32,Normal
PRD-0127,2024-03-05,EXT-05,Morning,7.2,0.8,2.28,4727,42,Normal
PRD-0128,2024-01-06,EXT-05,Evening,6.7,1.3,4.93,4934,20,Normal
PRD-0129,2024-01-23,EXT-02,Evening,7.1,0.9,2.22,4442,27,Normal
PRD-0130,2024-03-03,EXT-01,Night,5.6,2.4,1.67,3301,45,Normal
PRD-0131,2024-03-27,EXT-05,Night,6.2,1.8,3.36,1017,10,Normal
PRD-0132,2024-01-31,EXT-01,Morning,6.8,1.2,3.16,4756,45,Normal
PRD-0133,2024-01-16,EXT-04,Morning,7.0,1.0,1.41,4946,11,Normal
PRD-0134,2024-01-27,EXT-03,Evening,5.9,2.1,2.27,3081,43,Normal
PRD-0135,2024-02-08,EXT-01,Night,6.0,2.0,3.77,1609,49,Normal
PRD-0136,2024-02-19,EXT-01,Morning,5.7,2.3,2.92,2034,38,Normal
PRD-0137,2024-03-28,EXT-03,Evening,6.2,1.8,1.52,1607,43,Normal
PRD-0138,2024-01-30,EXT-01,Evening,6.4,1.6,2.49,1224,49,Normal
PRD-0139,2024-02-26,EXT-02,Morning,6.3,1.7,2.81,3915,44,Normal
PRD-0140,2024-01-28,EXT-03,Night,5.9,2.1,6.23,10738,120,High_Defect
PRD-0141,2024-03-21,EXT-02,Night,5.1,2.9,1.81,1013,31,Normal
PRD-0142,2024-01-22,EXT-02,Night,7.4,0.6,3.11,2874,26,Normal
PRD-0143,2024-03-26,EXT-02,Night,6.6,1.4,0.71,3283,33,Normal
PRD-0144,2024-03-10,EXT-03,Night,5.8,2.2,5.11,9376,87,High_Defect
PRD-0145,2024-02-03,EXT-04,Evening,6.5,1.5,4.61,1917,20,Normal
PRD-0146,2024-03-15,EXT-03,Evening,6.5,1.5,4.11,1626,40,Normal
PRD-0147,2024-02-17,EXT-04,Night,6.8,1.2,1.73,4358,44,Normal
PRD-0148,2024-01-05,EXT-02,Night,7.5,0.5,0.67,4079,15,Normal
PRD-0149,2024-03-25,EXT-04,Morning,7.1,0.9,1.57,3390,29,Normal
PRD-0150,2024-03-19,EXT-01,Night,6.4,1.6,4.21,4962,14,Normal
PRD-0151,2024-01-26,EXT-05,Morning,6.8,1.2,2.94,1883,38,Normal
PRD-0152,2024-03-31,EXT-01,Evening,7.2,0.8,4.06,1107,39,Normal
PRD-0153,2024-02-23,EXT-01,Night,6.5,1.5,1.18,1917,35,Normal
PRD-0154,2024-02-24,EXT-05,Morning,6.6,1.4,3.91,1903,11,Normal
PRD-0155,2024-03-11,EXT-03,Morning,6.6,1.4,2.02,4623,14,Normal
PRD-0156,2024-01-22,EXT-03,Night,5.0,3.0,6.86,9459,96,High_Defect
PRD-0157,2024-02-27,EXT-02,Night,6.8,1.2,1.19,4591,46,Normal
PRD-0158,2024-03-18,EXT-01,Night,5.1,2.9,2.58,2652,45,Normal
PRD-0159,2024-01-01,EXT-05,Night,5.0,3.0,4.04,4854,27,Normal
PRD-0160,2024-01-20,EXT-05,Evening,6.0,2.0,1.1,1483,12,Normal
PRD-0161,2024-02-14,EXT-03,Night,4.0,4.0,5.73,10424,81,High_Defect
PRD-0162,2024-03-16,EXT-04,Evening,6.2,1.8,2.82,3635,45,Normal
PRD-0163,2024-01-10,EXT-02,Evening,5.3,2.7,3.17,3422,43,Normal
PRD-0164,2024-03-14,EXT-02,Night,7.8,0.2,1.58,4024,13,Normal
PRD-0165,2024-02-29,EXT-04,Evening,7.1,0.9,0.96,3013,20,Normal
PRD-0166,2024-01-26,EXT-03,Night,5.7,2.3,6.66,14016,101,High_Defect
PRD-0167,2024-02-17,EXT-05,Evening,5.3,2.7,1.22,3413,11,Normal
PRD-0168,2024-03-19,EXT-02,Morning,7.6,0.4,4.08,1803,29,Normal
PRD-0169,2024-02-25,EXT-02,Evening,6.9,1.1,1.5,3190,45,Normal
PRD-0170,2024-02-08,EXT-03,Night,5.9,2.1,6.19,9514,62,High_Defect
PRD-0171,2024-03-22,EXT-03,Evening,7.4,0.6,1.49,2290,18,Normal
PRD-0172,2024-02-28,EXT-02,Evening,7.2,0.8,1.04,2679,42,Normal
PRD-0173,2024-01-21,EXT-02,Night,5.9,2.1,1.61,3311,23,Normal
PRD-0174,2024-02-13,EXT-05,Morning,5.8,2.2,2.9,2950,38,Normal
PRD-0175,2024-03-29,EXT-04,Morning,7.2,0.8,4.76,3526,35,Normal
PRD-0176,2024-02-12,EXT-03,Evening,7.8,0.2,3.6,4335,26,Normal
PRD-0177,2024-01-03,EXT-03,Night,5.6,2.4,5.57,14358,79,High_Defect
PRD-0178,2024-01-07,EXT-05,Night,7.9,0.1,3.92,1443,42,Normal
PRD-0179,2024-02-10,EXT-04,Evening,7.5,0.5,3.85,3342,11,Normal
PRD-0180,2024-01-12,EXT-01,Evening,5.5,2.5,3.6,1648,17,Normal
PRD-0181,2024-02-25,EXT-04,Evening,5.9,2.1,1.36,4022,49,Normal
PRD-0182,2024-03-27,EXT-04,Evening,7.9,0.1,3.27,4905,29,Normal
PRD-0183,2024-02-18,EXT-05,Night,7.2,0.8,2.43,3098,31,Normal
PRD-0184,2024-01-06,EXT-02,Evening,6.1,1.9,2.86,4149,14,Normal
PRD-0185,2024-02-14,EXT-05,Evening,6.0,2.0,2.15,3386,49,Normal
PRD-0186,2024-02-29,EXT-05,Evening,7.4,0.6,2.95,4026,26,Normal
PRD-0187,2024-01-19,EXT-04,Morning,5.5,2.5,2.74,4135,45,Normal
PRD-0188,2024-02-13,EXT-02,Morning,6.4,1.6,0.71,4555,22,Normal
PRD-0189,2024-02-02,EXT-02,Morning,6.1,1.9,4.31,4466,49,Normal
PRD-0190,2024-02-21,EXT-03,Morning,6.4,1.6,2.15,4470,30,Normal
PRD-0191,2024-03-16,EXT-05,Night,6.1,1.9,1.3,3953,13,Normal
PRD-0192,2024-01-06,EXT-02,Morning,6.8,1.2,4.87,2915,42,Normal
PRD-0193,2024-03-10,EXT-05,Morning,7.2,0.8,3.61,1186,38,Normal
PRD-0194,2024-01-20,EXT-04,Night,6.7,1.3,2.77,2735,39,Normal
PRD-0195,2024-02-27,EXT-05,Night,7.3,0.7,4.98,3514,23,Normal
PRD-0196,2024-01-11,EXT-05,Evening,7.5,0.5,2.62,1703,34,Normal
PRD-0197,2024-01-29,EXT-01,Evening,7.7,0.3,2.62,4633,34,Normal
PRD-0198,2024-03-07,EXT-04,Evening,6.5,1.5,2.02,1875,19,Normal
PRD-0199,2024-02-26,EXT-01,Morning,6.9,1.1,3.51,1776,28,Normal
PRD-0200,2024-03-18,EXT-02,Night,5.1,2.9,1.67,3037,39,Normal
PRD-0201,2024-01-31,EXT-05,Night,5.3,2.7,2.47,1583,21,Normal
PRD-0202,2024-01-01,EXT-05,Morning,6.4,1.6,4.46,2938,32,Normal
PRD-0203,2024-02-19,EXT-03,Evening,6.4,1.6,0.6,3908,48,Normal
PRD-0204,2024-02-17,EXT-02,Night,5.2,2.8,1.11,3453,49,Normal
PRD-0205,2024-01-24,EXT-02,Night,7.9,0.1,4.65,1163,47,Normal
PRD-0206,2024-03-17,EXT-05,Morning,7.4,0.6,3.36,1623,18,Normal
PRD-0207,2024-03-03,EXT-04,Evening,6.3,1.7,2.0,1828,18,Normal
PRD-0208,2024-02-14,EXT-05,Night,7.9,0.1,0.59,2361,15,Normal
PRD-0209,2024-03-08,EXT-04,Night,5.2,2.8,2.5,3056,20,Normal
PRD-0210,2024-01-29,EXT-05,Evening,7.9,0.1,3.59,4691,29,Normal
PRD-0211,2024-02-02,EXT-04,Night,6.5,1.5,4.89,4471,38,Normal
PRD-0212,2024-02-07,EXT-05,Morning,7.3,0.7,2.96,1028,23,Normal
PRD-0213,2024-03-14,EXT-03,Evening,7.2,0.8,3.05,4914,30,Normal
PRD-0214,2024-01-10,EXT-01,Evening,8.0,0.0,0.76,3369,36,Normal
PRD-0215,2024-03-19,EXT-04,Morning,7.7,0.3,0.79,1355,44,Normal
PRD-0216,2024-03-11,EXT-04,Morning,5.6,2.4,0.93,2230,20,Normal
PRD-0217,2024-02-29,EXT-02,Morning,6.1,1.9,4.11,3295,40,Normal
PRD-0218,2024-03-11,EXT-05,Night,6.2,1.8,2.37,1419,29,Normal
PRD-0219,2024-02-01,EXT-03,Morning,5.0,3.0,2.15,1654,11,Normal
PRD-0220,2024-03-04,EXT-03,Evening,6.8,1.2,3.05,2621,20,Normal
PRD-0221,2024-01-16,EXT-04,Morning,5.4,2.6,1.5,3262,16,Normal
PRD-0222,2024-02-09,EXT-02,Night,5.5,2.5,0.7,2721,45,Normal
PRD-0223,2024-03-28,EXT-04,Night,5.3,2.7,0.99,1988,28,Normal
PRD-0224,2024-01-09,EXT-05,Night,7.3,0.7,2.92,4584,50,Normal
PRD-0225,2024-01-01,EXT-02,Night,5.8,2.2,4.49,2318,21,Normal
PRD-0226,2024-01-06,EXT-05,Morning,6.4,1.6,4.97,1870,26,Normal
PRD-0227,2024-02-14,EXT-04,Night,5.7,2.3,4.97,3016,33,Normal
PRD-0228,2024-03-17,EXT-04,Night,5.3,2.7,3.91,1086,17,Normal
PRD-0229,2024-03-12,EXT-04,Morning,5.7,2.3,2.1,3355,37,Normal
PRD-0230,2024-01-29,EXT-05,Morning,7.5,0.5,2.76,4032,25,Normal
PRD-0231,2024-03-04,EXT-03,Morning,5.1,2.9,2.02,1961,22,Normal
PRD-0232,2024-03-20,EXT-03,Night,5.7,2.3,6.71,8000,85,High_Defect
PRD-0233,2024-01-11,EXT-05,Evening,6.9,1.1,4.54,2203,46,Normal
PRD-0234,2024-02-07,EXT-05,Night,7.3,0.7,2.52,3228,31,Normal
PRD-0235,2024-01-22,EXT-03,Night,5.0,3.0,5.15,14751,109,High_Defect
PRD-0236,2024-02-24,EXT-04,Morning,5.2,2.8,2.78,2647,33,Normal
PRD-0237,2024-03-03,EXT-02,Night,5.5,2.5,0.85,2955,28,Normal
PRD-0238,2024-03-12,EXT-05,Evening,7.2,0.8,2.19,4755,49,Normal
PRD-0239,2024-03-20,EXT-05,Morning,7.9,0.1,3.22,1446,43,Normal
PRD-0240,2024-02-17,EXT-01,Morning,7.1,0.9,0.91,3332,31,Normal
PRD-0241,2024-03-30,EXT-02,Night,5.6,2.4,2.3,2008,31,Normal
PRD-0242,2024-03-03,EXT-03,Morning,7.9,0.1,3.49,4538,27,Normal
PRD-0243,2024-01-17,EXT-02,Morning,5.9,2.1,3.31,1092,12,Normal
PRD-0244,2024-02-09,EXT-02,Morning,7.4,0.6,4.95,3577,16,Normal
PRD-0245,2024-03-27,EXT-04,Evening,5.3,2.7,4.25,1268,10,Normal
PRD-0246,2024-02-04,EXT-02,Morning,7.4,0.6,1.29,3265,20,Normal
PRD-0247,2024-02-21,EXT-04,Evening,5.1,2.9,3.24,1294,38,Normal
PRD-0248,2024-03-26,EXT-04,Evening,5.5,2.5,1.24,4379,33,Normal
PRD-0249,2024-01-03,EXT-02,Night,7.1,0.9,1.3,3393,10,Normal
PRD-0250,2024-03-12,EXT-01,Morning,5.8,2.2,3.68,1243,16,Normal
PRD-0251,2024-03-24,EXT-03,Night,4.3,3.7,8.22,14877,114,High_Defect
PRD-0252,2024-03-03,EXT-03,Morning,6.9,1.1,4.59,2926,21,Normal
PRD-0253,2024-01-06,EXT-01,Morning,8.0,0.0,3.93,4163,34,Normal
PRD-0254,2024-03-08,EXT-04,Morning,7.9,0.1,2.26,3901,42,Normal
PRD-0255,2024-01-22,EXT-05,Evening,5.4,2.6,1.05,1677,30,Normal
PRD-0256,2024-03-25,EXT-03,Evening,6.2,1.8,0.54,3694,47,Normal
PRD-0257,2024-03-12,EXT-01,Morning,7.6,0.4,1.04,4017,11,Normal
PRD-0258,2024-02-05,EXT-05,Morning,6.3,1.7,3.11,1738,44,Normal
PRD-0259,2024-03-19,EXT-04,Night,6.6,1.4,2.7,4681,30,Normal
PRD-0260,2024-01-03,EXT-01,Morning,5.6,2.4,1.89,3945,42,Normal
PRD-0261,2024-03-16,EXT-03,Morning,6.9,1.1,1.14,1530,35,Normal
PRD-0262,2024-01-17,EXT-03,Night,5.4,2.6,4.18,12718,116,High_Defect
PRD-0263,2024-01-27,EXT-01,Evening,5.0,3.0,1.82,4970,35,Normal
PRD-0264,2024-03-10,EXT-05,Evening,5.0,3.0,1.81,4983,15,Normal
PRD-0265,2024-03-23,EXT-03,Evening,6.0,2.0,1.86,1413,27,Normal
PRD-0266,2024-03-17,EXT-01,Night,7.1,0.9,1.55,4109,33,Normal
PRD-0267,2024-03-31,EXT-03,Morning,6.0,2.0,4.79,4582,27,Normal
PRD-0268,2024-01-15,EXT-01,Evening,7.1,0.9,2.99,4682,22,Normal
PRD-0269,2024-03-25,EXT-03,Evening,5.3,2.7,0.94,3933,50,Normal
PRD-0270,2024-02-26,EXT-02,Evening,7.3,0.7,3.26,4089,37,Normal
PRD-0271,2024-01-26,EXT-04,Evening,6.8,1.2,1.11,2205,11,Normal
PRD-0272,2024-03-03,EXT-03,Evening,6.8,1.2,2.07,1602,20,Normal
PRD-0273,2024-02-28,EXT-01,Night,7.6,0.4,2.49,2869,32,Normal
PRD-0274,2024-03-28,EXT-04,Morning,6.1,1.9,3.27,3260,48,Normal
PRD-0275,2024-01-26,EXT-03,Morning,7.5,0.5,4.53,4124,14,Normal
PRD-0276,2024-02-12,EXT-02,Night,7.0,1.0,4.11,4659,18,Normal
PRD-0277,2024-03-23,EXT-05,Morning,7.8,0.2,2.43,3185,33,Normal
PRD-0278,2024-01-14,EXT-02,Night,7.9,0.1,2.39,1077,20,Normal
PRD-0279,2024-02-11,EXT-04,Morning,5.8,2.2,1.68,4611,10,Normal
PRD-0280,2024-01-31,EXT-05,Evening,5.3,2.7,4.91,3510,13,Normal
PRD-0281,2024-03-17,EXT-04,Morning,7.9,0.1,4.53,4538,48,Normal
PRD-0282,2024-01-29,EXT-02,Morning,7.5,0.5,2.23,2949,26,Normal
PRD-0283,2024-03-10,EXT-03,Night,5.1,2.9,7.73,13237,77,High_Defect
PRD-0284,2024-02-11,EXT-04,Night,6.5,1.5,0.83,1201,14,Normal
PRD-0285,2024-01-28,EXT-02,Evening,7.6,0.4,4.65,3951,18,Normal
PRD-0286,2024-02-19,EXT-02,Evening,7.6,0.4,4.37,4609,16,Normal
PRD-0287,2024-01-30,EXT-04,Morning,7.9,0.1,4.67,4434,20,Normal
PRD-0288,2024-01-22,EXT-02,Evening,7.8,0.2,1.41,1585,15,Normal
PRD-0289,2024-03-14,EXT-03,Night,5.0,3.0,4.55,8740,99,High_Defect
PRD-0290,2024-01-22,EXT-01,Night,6.5,1.5,1.41,1826,26,Normal
PRD-0291,2024-01-28,EXT-01,Night,5.6,2.4,4.91,4111,18,Normal
PRD-0292,2024-03-30,EXT-04,Night,7.1,0.9,0.6,3203,19,Normal
PRD-0293,2024-01-30,EXT-04,Morning,6.7,1.3,1.5,3165,43,Normal
PRD-0294,2024-03-06,EXT-04,Night,6.5,1.5,2.37,4900,46,Normal
PRD-0295,2024-03-16,EXT-02,Evening,7.3,0.7,3.51,4255,35,Normal
PRD-0296,2024-02-13,EXT-01,Morning,5.4,2.6,3.04,3471,33,Normal
PRD-0297,2024-01-22,EXT-04,Evening,5.3,2.7,4.96,1150,40,Normal
PRD-0298,2024-03-02,EXT-04,Morning,6.1,1.9,4.4,4218,47,Normal
PRD-0299,2024-01-08,EXT-05,Night,6.8,1.2,1.37,4725,17,Normal
PRD-0300,2024-02-15,EXT-01,Evening,7.5,0.5,0.79,4750,47,Normal
PRD-0301,2024-02-11,EXT-05,Evening,7.3,0.7,3.75,1321,44,Normal
PRD-0302,2024-02-17,EXT-03,Evening,7.2,0.8,1.27,2448,23,Normal
PRD-0303,2024-02-14,EXT-04,Evening,6.8,1.2,1.63,1284,21,Normal
PRD-0304,2024-03-21,EXT-04,Morning,5.5,2.5,3.96,1764,30,Normal
PRD-0305,2024-02-21,EXT-02,Night,7.3,0.7,2.49,4939,22,Normal
PRD-0306,2024-02-15,EXT-03,Evening,5.2,2.8,1.93,4533,16,Normal
PRD-0307,2024-02-25,EXT-02,Night,6.0,2.0,4.25,1575,46,Normal
PRD-0308,2024-02-25,EXT-04,Night,6.1,1.9,1.59,2105,26,Normal
PRD-0309,2024-02-16,EXT-02,Evening,7.3,0.7,0.97,3256,18,Normal
