Dealer_Code,Region,City_Tier,Dealer_Since,Month,Order_Volume_Index,Target_Index,Achievement_Percent,Order_Value_Index,Premium_Mix_Percent,Order_To_Dispatch_Days,On_Time_Dispatch_Percent,Short_Supply_Incidents,Complaints_Raised,Complaints_Closed,Open_Complaint_Age_Days,Top_Defect_Category,Outstanding_Index,Overdue_Days,Credit_Utilisation_Percent,Training_Sessions_Attended,Fabrication_Audit_Score,Risk_Level,Notes
Dealer E,West,Tier-2,2021,2025-10,30.4,43.2,70.4,37.1,33.6,10.9,71.1,0,0,0,0,None,20.9,0,78.6,2,84.8,Losing,
Dealer E,West,Tier-2,2021,2025-11,28.8,40.7,70.8,35.0,33.3,10.1,72.2,0,1,1,48,Hardware fitment,17.8,0,51.8,1,85.4,Losing,
Dealer E,West,Tier-2,2021,2025-12,27.1,37.9,71.6,32.9,31.3,10.1,72.2,0,1,1,23,Hardware fitment,16.8,0,78.0,1,84.4,Losing,
Dealer E,West,Tier-2,2021,2026-01,25.5,35.7,71.4,31.8,32.3,11.8,72.0,1,2,2,35,Surface mark,15.1,0,40.5,0,85.5,Losing,
Dealer E,West,Tier-2,2021,2026-02,23.9,33.4,71.5,31.9,34.4,11.4,74.2,0,1,0,14,Hardware fitment,14.0,0,43.1,1,85.0,Losing,
Dealer E,West,Tier-2,2021,2026-03,22.3,31.7,70.2,27.5,30.4,11.6,72.5,0,0,0,0,None,16.9,0,76.9,2,85.6,Losing,
Dealer E,West,Tier-2,2021,2026-04,20.6,29.5,69.9,27.6,33.2,10.9,74.5,1,1,1,20,Reinforcement omission,14.8,0,61.7,0,84.6,Losing,
Dealer E,West,Tier-2,2021,2026-05,19.0,27.7,68.6,26.5,34.1,12.3,73.2,1,3,3,32,Surface mark,14.9,0,60.5,2,85.0,Losing,
Dealer E,West,Tier-2,2021,2026-06,17.4,25.3,68.7,24.1,30.9,10.7,70.6,0,1,1,23,Surface mark,8.8,0,68.5,0,84.9,Losing,
Dealer E,West,Tier-2,2021,2026-07,15.8,21.9,72.1,20.0,32.5,12.9,70.6,0,2,1,21,Reinforcement omission,12.3,0,52.9,1,84.2,Losing,
Dealer E,West,Tier-2,2021,2026-08,14.1,20.1,70.2,18.0,31.6,12.3,72.2,1,0,0,0,None,7.3,0,40.1,1,85.3,Losing,
Dealer E,West,Tier-2,2021,2026-09,12.5,17.7,70.5,15.2,35.6,11.7,74.7,1,1,1,44,Hardware fitment,7.9,0,64.2,2,84.9,Losing,
Dealer F,West,Tier-3,2022,2025-10,43.2,44.2,97.8,57.7,30.2,12.7,74.5,1,2,2,27,Surface mark,29.4,0,41.2,0,83.8,Stable,
Dealer F,West,Tier-3,2022,2025-11,40.6,42.3,96.1,56.9,30.6,10.6,73.3,1,0,0,0,None,20.7,0,50.6,1,84.8,Stable,
Dealer F,West,Tier-3,2022,2025-12,36.3,37.7,96.2,48.4,34.9,10.5,73.3,0,1,1,11,Surface mark,19.4,0,49.7,1,84.9,Stable,
Dealer F,West,Tier-3,2022,2026-01,37.6,38.3,98.1,46.9,32.3,11.0,72.6,1,2,2,30,Reinforcement omission,28.9,0,58.8,0,83.9,Stable,
Dealer F,West,Tier-3,2022,2026-02,38.8,40.3,96.4,50.7,32.6,11.4,73.8,0,6,6,38,Hardware fitment,20.7,0,73.6,1,85.4,Stable,
Dealer F,West,Tier-3,2022,2026-03,38.0,38.7,98.1,52.8,31.7,10.2,74.0,0,1,1,11,Reinforcement omission,22.2,0,49.3,0,83.9,Stable,
Dealer F,West,Tier-3,2022,2026-04,42.3,43.6,97.0,51.0,32.9,11.6,71.9,0,2,1,22,Hardware fitment,28.8,0,59.8,2,83.6,Stable,
Dealer F,West,Tier-3,2022,2026-05,37.0,38.0,97.2,46.8,31.7,11.6,72.7,1,1,1,46,Reinforcement omission,26.1,0,48.5,2,84.0,Stable,
Dealer F,West,Tier-3,2022,2026-06,36.5,38.2,95.5,45.4,35.1,11.0,74.9,0,0,0,0,None,19.0,0,59.7,0,84.3,Stable,
Dealer F,West,Tier-3,2022,2026-07,39.9,41.0,97.1,48.8,35.5,11.9,73.0,0,0,0,0,None,26.8,0,49.4,0,84.1,Stable,
Dealer F,West,Tier-3,2022,2026-08,42.3,43.5,97.4,57.7,35.6,12.2,72.8,0,1,1,13,Reinforcement omission,22.6,0,46.5,2,84.7,Stable,
Dealer F,West,Tier-3,2022,2026-09,41.9,43.0,97.4,54.2,33.3,10.8,73.1,1,1,1,17,Reinforcement omission,23.1,0,54.3,2,84.0,Stable,
Dealer G,North,Metro,2016,2025-10,116.3,118.1,98.5,162.8,30.8,10.6,74.3,0,0,0,0,None,63.8,0,51.1,1,84.7,Stable,
Dealer G,North,Metro,2016,2025-11,115.9,120.5,96.1,144.8,29.6,11.8,74.4,0,2,1,22,Surface mark,66.7,0,44.1,2,83.4,Stable,
Dealer G,North,Metro,2016,2025-12,118.6,121.9,97.3,146.6,28.3,11.6,71.7,0,2,2,25,Welded corner finish,78.0,0,74.5,1,84.5,Stable,
Dealer G,North,Metro,2016,2026-01,106.6,110.3,96.6,131.5,27.1,11.2,72.2,0,3,2,35,Surface mark,54.6,0,54.0,0,84.1,Stable,
Dealer G,North,Metro,2016,2026-02,102.3,105.1,97.4,125.6,25.8,12.8,74.3,0,0,0,0,None,74.7,0,70.9,0,85.1,Stable,
Dealer G,North,Metro,2016,2026-03,108.4,112.6,96.2,135.2,24.6,11.4,71.2,1,0,0,0,None,61.4,0,71.2,0,83.6,Stable,
Dealer G,North,Metro,2016,2026-04,107.3,111.6,96.2,148.3,23.3,11.3,73.4,0,2,2,36,Surface mark,82.3,0,66.5,1,84.8,Stable,
Dealer G,North,Metro,2016,2026-05,101.3,103.6,97.7,122.6,22.1,11.2,70.3,1,1,0,26,Welded corner finish,77.4,0,57.4,0,83.4,Stable,
Dealer G,North,Metro,2016,2026-06,112.3,114.0,98.5,154.9,20.8,11.7,73.1,1,5,5,12,Welded corner finish,61.8,0,59.1,0,84.9,Stable,
Dealer G,North,Metro,2016,2026-07,109.0,113.6,96.0,135.3,19.6,11.4,71.3,0,3,2,31,Welded corner finish,84.7,0,64.1,2,84.4,Stable,
Dealer G,North,Metro,2016,2026-08,107.6,109.9,97.9,140.6,18.3,10.8,70.9,1,1,1,20,Surface mark,61.0,0,68.8,0,83.5,Stable,
Dealer G,North,Metro,2016,2026-09,110.0,113.5,96.9,145.6,17.1,10.1,70.7,1,0,0,0,None,57.0,0,76.2,0,84.9,Stable,
Dealer H,North,Tier-2,2017,2025-10,62.9,67.5,93.2,77.4,30.8,11.3,72.0,1,1,1,24,Welded corner finish,39.7,0,50.9,1,84.1,Caution,
Dealer H,North,Tier-2,2017,2025-11,66.7,71.4,93.5,91.2,29.6,12.0,70.0,0,1,0,25,Welded corner finish,52.2,0,63.6,1,83.9,Caution,
Dealer H,North,Tier-2,2017,2025-12,62.8,66.5,94.4,85.1,28.3,12.9,72.9,1,0,0,0,None,36.5,0,70.6,1,84.0,Caution,
Dealer H,North,Tier-2,2017,2026-01,69.9,75.2,93.0,93.3,27.1,11.0,72.8,0,0,0,0,None,44.2,0,78.4,2,84.6,Caution,
Dealer H,North,Tier-2,2017,2026-02,68.0,71.4,95.2,88.3,25.8,11.1,71.0,0,0,0,0,None,54.0,0,56.5,0,84.1,Caution,
Dealer H,North,Tier-2,2017,2026-03,59.8,63.4,94.3,82.1,24.6,12.1,73.3,0,2,2,32,Welded corner finish,44.4,0,68.6,2,84.7,Caution,
Dealer H,North,Tier-2,2017,2026-04,70.1,73.9,94.8,87.5,23.3,11.4,73.7,0,0,0,0,None,56.0,0,65.3,0,84.4,Caution,
Dealer H,North,Tier-2,2017,2026-05,70.3,74.4,94.6,96.2,22.1,10.4,73.8,1,2,2,14,Surface mark,46.2,0,62.5,1,85.5,Caution,
Dealer H,North,Tier-2,2017,2026-06,62.5,66.6,93.8,87.5,20.8,11.2,74.2,0,0,0,0,None,44.1,0,66.8,0,84.2,Caution,
Dealer H,North,Tier-2,2017,2026-07,60.9,64.1,94.9,84.8,19.6,11.3,71.0,1,2,1,45,Surface mark,46.9,0,78.7,2,84.8,Caution,
Dealer H,North,Tier-2,2017,2026-08,61.6,64.5,95.4,84.3,18.3,12.0,73.6,1,0,0,0,None,44.5,0,61.3,0,85.7,Caution,
Dealer H,North,Tier-2,2017,2026-09,65.0,68.2,95.2,82.8,17.1,12.0,70.8,1,1,1,29,Welded corner finish,49.9,0,56.7,0,83.9,Caution,
Dealer I,North,Metro,2019,2025-10,89.4,94.2,94.9,112.3,30.8,10.8,73.6,0,0,0,0,None,52.6,0,75.7,2,84.8,Stable,
Dealer I,North,Metro,2019,2025-11,85.9,91.1,94.3,103.4,29.6,10.6,72.6,1,2,2,18,Welded corner finish,64.8,0,70.1,2,85.3,Stable,
Dealer I,North,Metro,2019,2025-12,96.6,102.5,94.3,125.7,28.3,11.4,72.3,1,3,2,48,Surface mark,61.3,0,69.1,2,84.2,Stable,
Dealer I,North,Metro,2019,2026-01,88.3,93.8,94.2,117.0,27.1,11.2,73.1,0,0,0,0,None,56.6,0,60.4,0,84.0,Stable,
Dealer I,North,Metro,2019,2026-02,102.9,108.8,94.6,130.4,25.8,11.7,73.5,1,2,1,37,Welded corner finish,71.4,0,75.0,2,84.0,Stable,
Dealer I,North,Metro,2019,2026-03,90.9,98.0,92.7,109.8,24.6,10.1,71.9,0,0,0,0,None,70.9,0,63.6,2,84.5,Stable,
Dealer I,North,Metro,2019,2026-04,100.9,108.6,92.9,128.1,23.3,12.3,71.8,1,1,1,27,Welded corner finish,77.1,0,79.6,2,85.4,Stable,
Dealer I,North,Metro,2019,2026-05,91.4,97.8,93.5,112.6,22.1,10.6,74.9,1,0,0,0,None,51.5,0,73.5,0,85.4,Stable,
Dealer I,North,Metro,2019,2026-06,96.9,102.0,95.0,129.8,20.8,10.2,70.3,0,2,1,23,Surface mark,60.5,0,56.5,2,85.2,Stable,
Dealer I,North,Metro,2019,2026-07,96.6,102.3,94.4,131.6,19.6,10.2,73.3,0,1,1,46,Welded corner finish,70.9,0,51.8,1,85.4,Stable,
Dealer I,North,Metro,2019,2026-08,91.3,96.3,94.8,123.8,18.3,11.6,73.1,0,1,1,16,Welded corner finish,62.2,0,70.9,1,84.9,Stable,
Dealer I,North,Metro,2019,2026-09,93.0,99.9,93.1,121.1,17.1,12.5,74.1,0,0,0,0,None,48.0,0,54.2,1,84.4,Stable,
Dealer J,North,Tier-3,2020,2025-10,47.5,50.2,94.5,59.5,30.8,10.4,72.1,0,3,3,12,Welded corner finish,32.2,0,46.2,1,83.2,Caution,
Dealer J,North,Tier-3,2020,2025-11,43.2,45.7,94.5,59.7,29.6,12.9,72.7,0,1,1,28,Welded corner finish,32.1,0,71.5,2,83.1,Caution,
Dealer J,North,Tier-3,2020,2025-12,49.1,53.3,92.1,68.5,28.3,11.7,72.1,0,0,0,0,None,32.5,0,46.4,0,82.5,Caution,
Dealer J,North,Tier-3,2020,2026-01,44.7,48.3,92.6,54.1,27.1,11.6,74.0,1,0,0,0,None,33.9,0,47.7,2,82.3,Caution,
Dealer J,North,Tier-3,2020,2026-02,43.3,46.3,93.5,53.4,25.8,10.0,73.8,0,3,3,10,Surface mark,34.2,0,70.1,0,82.1,Caution,
Dealer J,North,Tier-3,2020,2026-03,43.7,46.2,94.7,54.2,24.6,12.2,72.1,0,1,1,10,Welded corner finish,34.3,0,60.5,2,81.4,Caution,
Dealer J,North,Tier-3,2020,2026-04,47.1,50.4,93.3,62.3,23.3,11.0,72.0,1,1,0,21,Surface mark,36.6,0,48.6,1,83.0,Caution,
Dealer J,North,Tier-3,2020,2026-05,46.0,49.3,93.2,60.7,22.1,12.2,73.6,0,1,0,48,Welded corner finish,24.1,0,69.9,0,82.7,Caution,
Dealer J,North,Tier-3,2020,2026-06,47.8,51.7,92.5,60.8,20.8,12.6,72.1,1,4,4,19,Welded corner finish,25.3,0,62.6,0,83.1,Caution,
Dealer J,North,Tier-3,2020,2026-07,43.5,46.4,93.9,55.4,19.6,10.8,71.9,1,0,0,0,None,24.9,0,57.8,0,82.2,Caution,
Dealer J,North,Tier-3,2020,2026-08,40.6,43.6,93.3,52.2,18.3,11.7,74.7,0,4,4,47,Welded corner finish,24.4,0,45.1,2,83.0,Caution,
Dealer J,North,Tier-3,2020,2026-09,43.0,45.7,93.9,54.3,17.1,10.2,73.9,1,2,2,27,Welded corner finish,30.4,0,53.5,2,82.6,Caution,
Dealer K,North,Tier-2,2018,2025-10,50.8,70.7,71.8,63.2,30.8,12.3,72.1,0,3,3,34,Surface mark,38.7,0,70.6,0,84.9,Losing,
Dealer K,North,Tier-2,2018,2025-11,48.2,67.0,71.9,65.4,29.6,12.5,73.1,1,0,0,0,None,24.7,0,41.1,1,86.0,Losing,
Dealer K,North,Tier-2,2018,2025-12,45.6,61.9,73.7,59.9,28.3,11.1,72.7,1,0,0,0,None,33.7,0,60.2,1,86.2,Losing,
Dealer K,North,Tier-2,2018,2026-01,43.0,59.0,72.9,59.2,27.1,12.9,73.8,1,1,0,17,Welded corner finish,29.4,0,43.1,0,86.2,Losing,
Dealer K,North,Tier-2,2018,2026-02,40.4,54.1,74.7,54.8,25.8,11.0,70.7,0,1,0,38,Welded corner finish,25.5,0,44.0,1,85.1,Losing,
Dealer K,North,Tier-2,2018,2026-03,37.8,52.1,72.6,50.0,24.6,10.5,73.0,0,0,0,0,None,20.2,0,69.7,1,85.6,Losing,
Dealer K,North,Tier-2,2018,2026-04,35.2,48.1,73.1,48.0,23.3,11.8,70.5,1,0,0,0,None,25.2,0,48.5,1,85.0,Losing,
Dealer K,North,Tier-2,2018,2026-05,32.6,43.8,74.4,39.9,22.1,11.8,73.5,0,2,1,32,Surface mark,17.9,0,57.3,1,84.8,Losing,
Dealer K,North,Tier-2,2018,2026-06,30.0,40.3,74.5,41.4,20.8,11.2,74.9,0,0,0,0,None,22.0,0,42.4,0,85.2,Losing,
Dealer K,North,Tier-2,2018,2026-07,27.4,38.1,72.0,35.2,19.6,11.8,70.1,1,0,0,0,None,18.8,0,64.3,0,84.6,Losing,
Dealer K,North,Tier-2,2018,2026-08,24.8,33.3,74.4,31.9,18.3,11.4,70.3,1,1,1,31,Welded corner finish,15.6,0,54.2,0,85.1,Losing,
Dealer K,North,Tier-2,2018,2026-09,22.2,30.1,73.7,30.1,17.1,12.6,73.8,0,0,0,0,None,12.8,0,58.7,2,84.9,Losing,
Dealer L,South,Metro,2015,2025-10,94.8,97.8,97.0,128.0,33.7,12.0,72.0,0,2,2,39,Hardware fitment,61.9,0,50.8,2,93.9,Best,
Dealer L,South,Metro,2015,2025-11,115.5,121.9,94.7,157.1,30.0,10.8,70.0,1,3,3,30,Welded corner finish,83.9,0,67.5,1,93.9,Best,
Dealer L,South,Metro,2015,2025-12,95.8,101.6,94.3,118.1,31.1,12.0,70.1,1,0,0,0,None,49.2,0,45.0,2,95.6,Best,
Dealer L,South,Metro,2015,2026-01,107.2,112.9,94.9,136.2,31.4,11.3,72.9,1,0,0,0,None,70.3,0,67.2,2,94.7,Best,
Dealer L,South,Metro,2015,2026-02,106.8,112.5,94.9,128.7,30.7,10.4,72.6,0,2,2,20,Hardware fitment,60.4,0,77.6,1,95.6,Best,
Dealer L,South,Metro,2015,2026-03,100.5,106.3,94.5,130.0,35.4,11.5,72.0,1,2,2,20,Hardware fitment,65.9,0,48.2,0,94.7,Best,
Dealer L,South,Metro,2015,2026-04,96.3,101.3,95.0,117.8,31.8,12.2,72.4,0,5,4,39,Welded corner finish,57.7,0,41.2,1,95.1,Best,
Dealer L,South,Metro,2015,2026-05,111.9,116.6,96.0,145.2,30.1,10.1,74.4,1,3,2,42,Welded corner finish,69.0,0,46.6,1,94.5,Best,
Dealer L,South,Metro,2015,2026-06,108.5,114.7,94.6,133.5,31.1,13.0,71.2,1,4,4,40,Hardware fitment,62.1,0,59.8,0,94.9,Best,
Dealer L,South,Metro,2015,2026-07,110.7,114.7,96.5,146.8,34.0,11.6,74.3,1,1,0,14,Hardware fitment,70.3,0,73.6,1,95.4,Best,
Dealer L,South,Metro,2015,2026-08,106.8,112.2,95.2,134.6,31.7,10.5,72.6,1,2,1,43,Welded corner finish,76.9,0,78.9,0,94.2,Best,
Dealer L,South,Metro,2015,2026-09,108.2,112.1,96.5,150.8,34.6,11.4,74.6,0,2,1,27,Welded corner finish,60.8,0,74.9,0,94.3,Best,
Dealer M,South,Metro,2016,2025-10,88.0,92.8,94.8,116.6,33.1,12.0,73.0,1,2,1,46,Hardware fitment,45.8,0,65.6,1,84.2,Stable,
Dealer M,South,Metro,2016,2025-11,79.7,83.6,95.3,107.3,33.7,11.7,72.4,1,2,1,17,Hardware fitment,44.6,0,44.9,0,84.0,Stable,
Dealer M,South,Metro,2016,2025-12,86.7,92.0,94.2,108.0,30.3,10.2,71.7,0,0,0,0,None,51.1,0,53.6,1,85.3,Stable,
Dealer M,South,Metro,2016,2026-01,90.8,96.7,93.8,115.4,31.7,10.4,73.1,0,0,0,0,None,50.8,0,48.6,2,84.0,Stable,
Dealer M,South,Metro,2016,2026-02,90.3,94.5,95.6,118.6,31.7,12.5,73.9,1,0,0,0,None,45.5,0,66.2,0,85.2,Stable,
Dealer M,South,Metro,2016,2026-03,90.0,96.2,93.6,114.6,33.7,12.1,74.7,1,4,3,21,Hardware fitment,48.3,0,58.1,2,84.3,Stable,
Dealer M,South,Metro,2016,2026-04,79.9,83.6,95.6,103.6,35.3,11.8,72.8,1,1,0,42,Hardware fitment,61.4,0,40.6,0,84.9,Stable,
Dealer M,South,Metro,2016,2026-05,87.8,91.9,95.6,122.8,33.2,12.3,71.1,0,0,0,0,None,57.8,0,73.0,1,85.1,Stable,
Dealer M,South,Metro,2016,2026-06,84.5,88.3,95.7,106.4,30.1,10.7,71.4,1,2,2,35,Hardware fitment,50.7,0,70.6,2,84.1,Stable,
Dealer M,South,Metro,2016,2026-07,83.4,89.2,93.5,102.9,34.8,11.4,74.4,1,1,0,21,Welded corner finish,54.8,0,52.1,2,84.8,Stable,
Dealer M,South,Metro,2016,2026-08,82.9,87.9,94.3,111.1,30.6,12.1,72.0,1,0,0,0,None,44.7,0,73.3,0,84.9,Stable,
Dealer M,South,Metro,2016,2026-09,83.4,87.7,95.1,115.3,30.6,10.9,73.1,1,0,0,0,None,57.9,0,46.3,2,85.3,Stable,
Dealer N,South,Tier-2,2021,2025-10,41.5,53.5,77.6,57.9,30.7,10.5,71.9,0,2,1,50,Welded corner finish,22.8,0,59.6,2,83.9,Watch,
Dealer N,South,Tier-2,2021,2025-11,39.8,52.3,76.1,48.9,35.9,12.7,71.5,0,1,1,48,Hardware fitment,25.2,0,63.2,1,84.0,Watch,
Dealer N,South,Tier-2,2021,2025-12,38.0,49.9,76.2,51.1,30.7,11.3,71.2,1,0,0,0,None,28.1,0,62.3,0,83.7,Watch,
Dealer N,South,Tier-2,2021,2026-01,36.3,46.1,78.6,46.4,31.2,11.5,74.8,1,1,1,46,Welded corner finish,27.6,0,58.8,2,83.4,Watch,
Dealer N,South,Tier-2,2021,2026-02,34.5,44.3,78.0,44.5,31.7,12.1,72.6,0,0,0,0,None,18.6,0,60.2,1,83.8,Watch,
